3.08ms,1.16ms,30.86ms,3091.06\nTransfer/sec:,1.01MB\n")
3.03ms,1.05ms,37.60ms,3091.05\nTransfer/sec:,1.01MB\n")
421.91ms,1.54s,11.61s,2785.55\nTransfer/sec:,0.91MB\n")
6.22s,4.90s,26.67s,2806.95\nTransfer/sec:,0.92MB\n")
12.01s,8.08s,26.20s,3828.24\nTransfer/sec:,1.25MB\n")
2.78ms,1.31ms,43.39ms,3977.40\nTransfer/sec:,1.30MB\n")
2.76ms,0.94ms,28.38ms,4908.79\nTransfer/sec:,1.60MB\n")
8.23s,8.14s,36.41s,2511.09\nTransfer/sec:,838.54KB\n")
21.59s,16.46s,0.97m,1484.04\nTransfer/sec:,495.58KB\n")
1.11ms,457.16us,3.23ms,1365.52\nTransfer/sec:,456.00KB\n")
3.84ms,3.34ms,65.60ms,5177.50\nTransfer/sec:,1.69MB\n")
4.42ms,7.00ms,159.23ms,5177.47\nTransfer/sec:,1.69MB\n")
142.50ms,644.18ms,6.54s,5163.71\nTransfer/sec:,1.68MB\n")
1.10ms,455.21us,2.67ms,2724.80\nTransfer/sec:,0.89MB\n")
4.00ms,3.73ms,101.57ms,5163.51\nTransfer/sec:,1.68MB\n")
5.33ms,10.28ms,285.18ms,5435.43\nTransfer/sec:,1.77MB\n")
9.09ms,29.33ms,449.79ms,3819.71\nTransfer/sec:,1.25MB\n")
1.12ms,468.05us,9.27ms,2120.42\nTransfer/sec:,708.08KB\n")
36.01ms,85.33ms,862.72ms,6105.83\nTransfer/sec:,1.99MB\n")
40.39ms,89.27ms,963.58ms,6104.93\nTransfer/sec:,1.99MB\n")
1.23s,2.78s,21.00s,6106.08\nTransfer/sec:,1.99MB\n")
1.14ms,473.26us,6.60ms,3975.37\nTransfer/sec:,1.30MB\n")
7.62s,7.47s,23.53s,5569.50\nTransfer/sec:,1.82MB\n")
102.84ms,230.08ms,1.92s,6360.86\nTransfer/sec:,2.07MB\n")
55.73ms,98.16ms,891.39ms,5368.62\nTransfer/sec:,1.75MB\n")
1.14ms,469.29us,2.96ms,2324.53\nTransfer/sec:,776.24KB\n")
79.02ms,145.67ms,1.16s,6317.30\nTransfer/sec:,2.06MB\n")
51.92ms,136.09ms,1.26s,6207.79\nTransfer/sec:,2.02MB\n")
4.78s,8.83s,26.71s,4141.03\nTransfer/sec:,1.35MB\n")
