2.50ms,673.94us,23.44ms,3091.11\nTransfer/sec:,1.01MB\n")
2.46ms,638.81us,21.06ms,3091.11\nTransfer/sec:,1.01MB\n")
2.52ms,665.85us,23.10ms,3091.10\nTransfer/sec:,1.01MB\n")
2.43ms,565.99us,14.47ms,3977.47\nTransfer/sec:,1.30MB\n")
2.43ms,606.36us,21.87ms,3977.41\nTransfer/sec:,1.30MB\n")
2.45ms,740.36us,27.63ms,3977.44\nTransfer/sec:,1.30MB\n")
2.42ms,729.60us,23.10ms,4908.80\nTransfer/sec:,1.60MB\n")
2.44ms,631.81us,13.22ms,4908.73\nTransfer/sec:,1.60MB\n")
2.47ms,597.22us,14.67ms,4908.75\nTransfer/sec:,1.60MB\n")
2.42ms,627.89us,17.15ms,5177.51\nTransfer/sec:,1.69MB\n")
121.81ms,396.21ms,2.41s,5177.66\nTransfer/sec:,1.69MB\n")
2.48ms,1.24ms,42.18ms,5177.60\nTransfer/sec:,1.69MB\n")
2.41ms,638.93us,16.90ms,5163.60\nTransfer/sec:,1.68MB\n")
182.52ms,537.69ms,3.27s,5163.57\nTransfer/sec:,1.68MB\n")
2.46ms,723.51us,21.26ms,5163.58\nTransfer/sec:,1.68MB\n")
2.42ms,641.39us,18.14ms,5435.36\nTransfer/sec:,1.77MB\n")
1.34s,2.09s,9.15s,5435.42\nTransfer/sec:,1.77MB\n")
2.64ms,739.24us,23.60ms,5435.33\nTransfer/sec:,1.77MB\n")
4.28ms,27.38ms,1.64s,5844.92\nTransfer/sec:,1.91MB\n")
520.84ms,1.21s,5.61s,6105.96\nTransfer/sec:,1.99MB\n")
2.61ms,707.73us,15.45ms,6105.91\nTransfer/sec:,1.99MB\n")
177.31ms,658.97ms,4.13s,6370.93\nTransfer/sec:,2.08MB\n")
1.84s,2.77s,9.06s,6370.70\nTransfer/sec:,2.08MB\n")
2.70ms,0.86ms,22.29ms,6370.85\nTransfer/sec:,2.08MB\n")
251.00ms,819.72ms,6.54s,5646.40\nTransfer/sec:,1.84MB\n")
2.73ms,1.02ms,27.31ms,6351.71\nTransfer/sec:,2.07MB\n")
2.73ms,781.19us,20.06ms,6351.74\nTransfer/sec:,2.07MB\n")
1.04s,1.65s,6.23s,6128.13\nTransfer/sec:,2.00MB\n")
2.65ms,691.78us,10.75ms,6207.82\nTransfer/sec:,2.02MB\n")
2.69ms,825.37us,23.26ms,6207.80\nTransfer/sec:,2.02MB\n")
1.06s,1.85s,8.38s,5747.23\nTransfer/sec:,1.87MB\n")
2.66ms,765.11us,23.41ms,5747.13\nTransfer/sec:,1.87MB\n")
2.60ms,739.78us,19.81ms,5747.17\nTransfer/sec:,1.87MB\n")
119.42ms,485.23ms,3.63s,5354.95\nTransfer/sec:,1.75MB\n")
2.60ms,689.93us,13.50ms,5804.85\nTransfer/sec:,1.89MB\n")
2.60ms,716.62us,17.76ms,5805.15\nTransfer/sec:,1.89MB\n")
2.59ms,791.44us,20.00ms,6043.94\nTransfer/sec:,1.97MB\n")
944.09ms,1.74s,7.80s,6043.95\nTransfer/sec:,1.97MB\n")
2.56ms,696.95us,21.54ms,6043.83\nTransfer/sec:,1.97MB\n")
2.60ms,740.31us,18.91ms,6051.99\nTransfer/sec:,1.97MB\n")
1.62s,2.43s,9.26s,6040.84\nTransfer/sec:,1.97MB\n")
2.64ms,1.25ms,36.54ms,6052.06\nTransfer/sec:,1.97MB\n")
2.56ms,707.86us,24.30ms,5149.43\nTransfer/sec:,1.68MB\n")
2.58ms,654.28us,13.94ms,5149.55\nTransfer/sec:,1.68MB\n")
5.95s,5.30s,21.73s,4694.32\nTransfer/sec:,1.53MB\n")
3.01ms,0.95ms,25.76ms,3640.59\nTransfer/sec:,1.19MB\n")
2.98ms,0.89ms,25.94ms,3640.65\nTransfer/sec:,1.19MB\n")
3.01ms,814.65us,22.46ms,3640.70\nTransfer/sec:,1.19MB\n")
2.89ms,710.16us,20.82ms,2372.61\nTransfer/sec:,792.30KB\n")
819.11ms,1.70s,6.97s,2142.75\nTransfer/sec:,715.54KB\n")
2.90ms,673.14us,21.07ms,2372.56\nTransfer/sec:,792.28KB\n")
2.90ms,564.81us,20.21ms,1465.18\nTransfer/sec:,489.28KB\n")
2.88ms,644.56us,34.05ms,1465.21\nTransfer/sec:,489.29KB\n")
2.92ms,646.61us,21.86ms,1465.22\nTransfer/sec:,489.29KB\n")
3.08ms,596.35us,20.98ms,1118.49\nTransfer/sec:,373.51KB\n")
952.85ms,2.12s,8.68s,1118.47\nTransfer/sec:,373.50KB\n")
3.08ms,657.37us,21.89ms,1118.49\nTransfer/sec:,373.50KB\n")
3.05ms,616.36us,20.02ms,990.54\nTransfer/sec:,330.78KB\n")
3.04ms,690.38us,23.49ms,990.57\nTransfer/sec:,330.79KB\n")
3.09ms,733.67us,21.34ms,990.58\nTransfer/sec:,330.79KB\n")
129.28ms,746.59ms,6.79s,793.15\nTransfer/sec:,264.86KB\n")
3.00ms,650.69us,20.61ms,884.65\nTransfer/sec:,295.42KB\n")
3.01ms,687.02us,27.47ms,884.64\nTransfer/sec:,295.41KB\n")
3.03ms,580.12us,16.56ms,885.66\nTransfer/sec:,295.76KB\n")
3.01ms,0.97ms,55.58ms,885.66\nTransfer/sec:,295.75KB\n")
2.99ms,703.08us,23.07ms,885.65\nTransfer/sec:,295.75KB\n")
3.35s,4.29s,13.15s,1050.02\nTransfer/sec:,350.64KB\n")
3.24ms,1.27ms,61.57ms,1134.49\nTransfer/sec:,378.85KB\n")
3.22ms,0.91ms,34.78ms,1134.49\nTransfer/sec:,378.85KB\n")
3.16ms,0.87ms,27.82ms,1720.00\nTransfer/sec:,574.37KB\n")
3.07ms,0.89ms,32.24ms,1720.02\nTransfer/sec:,574.38KB\n")
3.14ms,825.23us,32.67ms,1720.03\nTransfer/sec:,574.38KB\n")
698.68ms,1.79s,9.86s,2757.34\nTransfer/sec:,0.90MB\n")
3.00ms,843.72us,31.28ms,3085.76\nTransfer/sec:,1.01MB\n")
2.95ms,0.97ms,36.19ms,3086.04\nTransfer/sec:,1.01MB\n")
3.04ms,828.64us,18.40ms,4016.36\nTransfer/sec:,1.31MB\n")
3.02ms,842.28us,24.02ms,4016.40\nTransfer/sec:,1.31MB\n")
3.02ms,0.90ms,23.84ms,4016.43\nTransfer/sec:,1.31MB\n")
3.59ms,2.26ms,56.54ms,4987.14\nTransfer/sec:,1.63MB\n")
3.11s,2.96s,15.02s,4986.48\nTransfer/sec:,1.63MB\n")
3.55ms,2.48ms,56.13ms,4987.33\nTransfer/sec:,1.63MB\n")
3.79ms,2.90ms,86.98ms,5197.46\nTransfer/sec:,1.69MB\n")
4.08ms,4.18ms,132.86ms,5197.48\nTransfer/sec:,1.69MB\n")
3.72ms,2.74ms,50.11ms,5197.60\nTransfer/sec:,1.69MB\n")
4.95ms,8.52ms,282.88ms,5203.56\nTransfer/sec:,1.70MB\n")
622.63ms,1.54s,6.68s,4211.83\nTransfer/sec:,1.37MB\n")
3.57ms,2.34ms,71.94ms,5203.51\nTransfer/sec:,1.70MB\n")
5.69ms,10.54ms,270.59ms,5502.74\nTransfer/sec:,1.79MB\n")
5.42ms,7.68ms,164.48ms,5500.69\nTransfer/sec:,1.79MB\n")
6.83ms,14.62ms,316.42ms,5503.30\nTransfer/sec:,1.79MB\n")
38.13ms,63.19ms,671.23ms,6193.18\nTransfer/sec:,2.02MB\n")
102.05ms,179.68ms,1.43s,6194.53\nTransfer/sec:,2.02MB\n")
2.83s,4.06s,12.13s,5405.66\nTransfer/sec:,1.76MB\n")
57.65ms,101.66ms,828.42ms,6166.85\nTransfer/sec:,2.01MB\n")
29.99ms,55.96ms,509.18ms,6180.91\nTransfer/sec:,2.02MB\n")
58.83ms,107.49ms,825.86ms,6175.74\nTransfer/sec:,2.01MB\n")
7.83ms,15.08ms,220.80ms,5635.26\nTransfer/sec:,1.84MB\n")
10.83ms,21.59ms,333.57ms,5635.08\nTransfer/sec:,1.84MB\n")
6.31ms,12.12ms,291.58ms,5635.16\nTransfer/sec:,1.84MB\n")
1.67s,4.93s,22.28s,2625.16\nTransfer/sec:,0.86MB\n")
12.34s,6.14s,24.59s,3791.25\nTransfer/sec:,1.24MB\n")
6.28s,3.10s,14.69s,4409.88\nTransfer/sec:,1.44MB\n")
5.30s,2.86s,14.20s,4446.95\nTransfer/sec:,1.45MB\n")
4.76s,2.78s,13.39s,4508.62\nTransfer/sec:,1.47MB\n")
5.91s,2.87s,14.34s,4354.02\nTransfer/sec:,1.42MB\n")
