3.01ms,1.46ms,35.10ms,3091.09\nTransfer/sec:,1.01MB\n")
3.13ms,1.92ms,41.95ms,3091.12\nTransfer/sec:,1.01MB\n")
156.58ms,826.02ms,6.99s,2663.46\nTransfer/sec:,0.87MB\n")
9.01s,6.83s,20.02s,3120.88\nTransfer/sec:,1.02MB\n")
8.05ms,13.71ms,271.87ms,3976.67\nTransfer/sec:,1.30MB\n")
9.00ms,21.09ms,437.25ms,3977.36\nTransfer/sec:,1.30MB\n")
1.05s,1.79s,11.53s,4029.69\nTransfer/sec:,1.31MB\n")
3.53s,2.55s,12.34s,4340.67\nTransfer/sec:,1.42MB\n")
3.26s,2.16s,12.72s,4438.50\nTransfer/sec:,1.45MB\n")
3.99s,4.46s,21.10s,5177.74\nTransfer/sec:,1.69MB\n")
17.19s,3.47s,24.85s,3435.08\nTransfer/sec:,1.12MB\n")
4.78s,2.97s,14.70s,4492.36\nTransfer/sec:,1.46MB\n")
4.52s,2.87s,13.85s,4452.01\nTransfer/sec:,1.45MB\n")
6.57s,6.35s,17.81s,3816.84\nTransfer/sec:,1.24MB\n")
4.77s,2.99s,15.71s,4461.10\nTransfer/sec:,1.45MB\n")
6.41s,3.10s,14.79s,4408.89\nTransfer/sec:,1.44MB\n")
1.39s,2.03s,10.10s,5205.40\nTransfer/sec:,1.70MB\n")
8.37s,3.42s,18.83s,4262.51\nTransfer/sec:,1.39MB\n")
9.94s,4.55s,22.04s,4365.99\nTransfer/sec:,1.42MB\n")
7.67s,3.54s,17.65s,3390.60\nTransfer/sec:,1.11MB\n")
15.29s,7.51s,25.31s,3780.85\nTransfer/sec:,1.23MB\n")
10.81s,4.83s,22.66s,4410.97\nTransfer/sec:,1.44MB\n")
10.47s,4.73s,23.15s,4491.45\nTransfer/sec:,1.46MB\n")
4.43s,5.71s,24.00s,4598.73\nTransfer/sec:,1.50MB\n")
10.71s,4.56s,21.94s,4421.46\nTransfer/sec:,1.44MB\n")
10.50s,4.64s,21.89s,4419.48\nTransfer/sec:,1.44MB\n")
5.27s,4.93s,19.86s,6351.93\nTransfer/sec:,2.07MB\n")
20.47s,3.81s,30.59s,3561.69\nTransfer/sec:,1.16MB\n")
9.73s,4.45s,23.69s,4427.45\nTransfer/sec:,1.44MB\n")
10.46s,4.45s,24.31s,4398.75\nTransfer/sec:,1.43MB\n")
5.98s,6.46s,19.01s,4119.65\nTransfer/sec:,1.34MB\n")
7.99s,3.92s,19.33s,4412.80\nTransfer/sec:,1.44MB\n")
7.86s,3.75s,18.91s,4450.62\nTransfer/sec:,1.45MB\n")
2.74s,3.47s,16.96s,5805.32\nTransfer/sec:,1.89MB\n")
16.79s,4.69s,30.16s,3643.10\nTransfer/sec:,1.19MB\n")
8.07s,4.02s,19.20s,4465.81\nTransfer/sec:,1.46MB\n")
9.22s,3.91s,20.50s,5305.35\nTransfer/sec:,1.73MB\n")
18.43s,5.92s,32.31s,3608.42\nTransfer/sec:,1.18MB\n")
8.66s,4.14s,19.60s,4527.60\nTransfer/sec:,1.48MB\n")
9.72s,4.48s,24.12s,4355.98\nTransfer/sec:,1.42MB\n")
2.51s,5.32s,22.15s,4370.73\nTransfer/sec:,1.43MB\n")
9.29s,4.38s,20.66s,4424.82\nTransfer/sec:,1.44MB\n")
5.01s,2.94s,15.19s,4420.31\nTransfer/sec:,1.44MB\n")
7.12s,8.44s,33.95s,3259.87\nTransfer/sec:,1.06MB\n")
17.40s,3.89s,29.95s,3401.50\nTransfer/sec:,1.11MB\n")
4.96ms,6.93ms,84.42ms,3640.68\nTransfer/sec:,1.19MB\n")
4.39ms,5.53ms,80.96ms,3640.66\nTransfer/sec:,1.19MB\n")
5.79s,6.03s,17.47s,2891.79\nTransfer/sec:,0.94MB\n")
2.67ms,0.88ms,45.70ms,2372.59\nTransfer/sec:,792.30KB\n")
2.70ms,0.89ms,38.88ms,2372.55\nTransfer/sec:,792.28KB\n")
5.69s,7.80s,28.41s,2372.63\nTransfer/sec:,792.31KB\n")
2.86s,4.62s,16.68s,1465.21\nTransfer/sec:,489.29KB\n")
2.65ms,1.05ms,40.00ms,1465.20\nTransfer/sec:,489.28KB\n")
2.63ms,1.35ms,44.99ms,1465.29\nTransfer/sec:,489.31KB\n")
942.83ms,1.87s,9.72s,1118.51\nTransfer/sec:,373.51KB\n")
2.89ms,1.37ms,43.90ms,1118.50\nTransfer/sec:,373.51KB\n")
2.87ms,1.23ms,34.40ms,1118.47\nTransfer/sec:,373.50KB\n")
