2.25ms,693.71us,30.86ms,3091.08\nTransfer/sec:,1.01MB\n")
2.31ms,687.50us,32.27ms,3091.08\nTransfer/sec:,1.01MB\n")
2.22ms,583.64us,22.37ms,3091.10\nTransfer/sec:,1.01MB\n")
2.23ms,562.54us,20.46ms,3977.48\nTransfer/sec:,1.30MB\n")
4.03s,4.24s,32.01s,3729.74\nTransfer/sec:,1.22MB\n")
2.18ms,787.02us,51.81ms,3977.49\nTransfer/sec:,1.30MB\n")
2.08ms,557.44us,17.33ms,4908.83\nTransfer/sec:,1.60MB\n")
2.11ms,683.11us,26.94ms,4908.79\nTransfer/sec:,1.60MB\n")
8.91s,9.22s,36.01s,4073.89\nTransfer/sec:,1.33MB\n")
2.19ms,605.47us,20.19ms,5177.65\nTransfer/sec:,1.69MB\n")
2.16ms,575.17us,20.48ms,5177.59\nTransfer/sec:,1.69MB\n")
2.16ms,635.25us,24.16ms,5177.57\nTransfer/sec:,1.69MB\n")
2.19ms,667.54us,34.43ms,5163.63\nTransfer/sec:,1.68MB\n")
1.96s,3.78s,16.66s,5163.66\nTransfer/sec:,1.68MB\n")
3.47s,4.64s,14.72s,5163.67\nTransfer/sec:,1.68MB\n")
2.17ms,549.83us,14.74ms,5435.42\nTransfer/sec:,1.77MB\n")
2.15ms,594.98us,22.80ms,5435.44\nTransfer/sec:,1.77MB\n")
2.19ms,594.35us,20.96ms,5435.40\nTransfer/sec:,1.77MB\n")
2.18ms,587.47us,19.63ms,6105.98\nTransfer/sec:,1.99MB\n")
1.80s,3.56s,13.11s,4835.30\nTransfer/sec:,1.58MB\n")
2.24ms,1.34ms,56.51ms,6105.97\nTransfer/sec:,1.99MB\n")
2.19ms,633.56us,19.52ms,6370.77\nTransfer/sec:,2.08MB\n")
2.21ms,716.64us,27.90ms,6370.78\nTransfer/sec:,2.08MB\n")
2.34ms,1.11ms,43.97ms,6370.67\nTransfer/sec:,2.08MB\n")
2.21ms,711.64us,33.92ms,6351.77\nTransfer/sec:,2.07MB\n")
4.96s,7.90s,31.01s,5980.42\nTransfer/sec:,1.95MB\n")
4.79s,6.21s,22.45s,6351.83\nTransfer/sec:,2.07MB\n")
2.29ms,619.22us,11.11ms,6207.71\nTransfer/sec:,2.02MB\n")
2.26ms,677.84us,27.10ms,6207.83\nTransfer/sec:,2.02MB\n")
2.31ms,1.00ms,30.86ms,6207.93\nTransfer/sec:,2.02MB\n")
2.17ms,568.35us,16.36ms,5747.21\nTransfer/sec:,1.87MB\n")
2.20ms,597.92us,22.54ms,5747.15\nTransfer/sec:,1.87MB\n")
862.27ms,2.10s,13.09s,4511.38\nTransfer/sec:,1.47MB\n")
2.23ms,576.64us,14.26ms,5805.17\nTransfer/sec:,1.89MB\n")
2.23ms,0.87ms,56.93ms,5805.17\nTransfer/sec:,1.89MB\n")
2.21ms,597.83us,16.38ms,5805.17\nTransfer/sec:,1.89MB\n")
2.18ms,1.06ms,67.01ms,6043.99\nTransfer/sec:,1.97MB\n")
2.15ms,603.12us,20.48ms,6043.99\nTransfer/sec:,1.97MB\n")
2.15ms,603.40us,20.85ms,6044.02\nTransfer/sec:,1.97MB\n")
1.88s,3.67s,15.02s,5962.50\nTransfer/sec:,1.94MB\n")
446.83ms,1.45s,10.14s,6051.94\nTransfer/sec:,1.97MB\n")
2.15ms,713.87us,27.28ms,6052.05\nTransfer/sec:,1.97MB\n")
2.14ms,572.69us,19.09ms,5149.65\nTransfer/sec:,1.68MB\n")
2.17ms,621.80us,23.06ms,5149.66\nTransfer/sec:,1.68MB\n")
2.18ms,575.97us,17.33ms,5149.69\nTransfer/sec:,1.68MB\n")
2.18ms,632.07us,22.26ms,3640.74\nTransfer/sec:,1.19MB\n")
2.21ms,567.24us,20.05ms,3640.66\nTransfer/sec:,1.19MB\n")
3.42s,4.80s,21.77s,3622.87\nTransfer/sec:,1.18MB\n")
2.25ms,540.86us,21.07ms,2372.61\nTransfer/sec:,792.30KB\n")
2.23ms,530.59us,24.66ms,2372.64\nTransfer/sec:,792.31KB\n")
2.24ms,557.67us,28.69ms,2372.62\nTransfer/sec:,792.30KB\n")
2.32ms,741.65us,35.26ms,1465.24\nTransfer/sec:,489.30KB\n")
2.30ms,589.72us,20.67ms,1465.22\nTransfer/sec:,489.29KB\n")
2.30ms,534.65us,18.75ms,1465.22\nTransfer/sec:,489.29KB\n")
2.44ms,535.20us,31.06ms,1118.50\nTransfer/sec:,373.51KB\n")
998.95ms,1.84s,8.68s,1118.55\nTransfer/sec:,373.52KB\n")
2.46ms,506.70us,11.62ms,1118.50\nTransfer/sec:,373.51KB\n")
2.26ms,473.53us,7.91ms,990.55\nTransfer/sec:,330.78KB\n")
12.05ms,67.66ms,824.83ms,990.59\nTransfer/sec:,330.79KB\n")
2.32ms,497.19us,9.06ms,990.59\nTransfer/sec:,330.79KB\n")
45.85ms,203.79ms,1.69s,884.65\nTransfer/sec:,295.42KB\n")
2.18ms,474.30us,9.23ms,884.66\nTransfer/sec:,295.42KB\n")
2.16ms,502.21us,16.46ms,884.67\nTransfer/sec:,295.42KB\n")
30.70ms,138.26ms,1.28s,885.65\nTransfer/sec:,295.75KB\n")
2.21ms,479.52us,8.27ms,885.67\nTransfer/sec:,295.76KB\n")
2.47ms,11.42ms,472.32ms,875.71\nTransfer/sec:,292.43KB\n")
2.55ms,523.09us,11.47ms,1134.49\nTransfer/sec:,378.85KB\n")
2.37ms,518.53us,15.05ms,1134.46\nTransfer/sec:,378.84KB\n")
31.28ms,164.83ms,1.56s,1134.49\nTransfer/sec:,378.85KB\n")
2.39ms,468.58us,6.62ms,1720.04\nTransfer/sec:,574.38KB\n")
2.57ms,540.55us,15.51ms,1720.13\nTransfer/sec:,574.41KB\n")
77.59ms,304.03ms,2.18s,1720.06\nTransfer/sec:,574.39KB\n")
1.97ms,478.58us,7.66ms,3086.12\nTransfer/sec:,1.01MB\n")
70.99ms,409.66ms,4.55s,2809.87\nTransfer/sec:,0.92MB\n")
2.23s,4.65s,18.04s,3086.11\nTransfer/sec:,1.01MB\n")
2.12ms,647.26us,23.86ms,4016.46\nTransfer/sec:,1.31MB\n")
2.07ms,502.91us,8.80ms,4016.47\nTransfer/sec:,1.31MB\n")
2.48s,4.68s,24.43s,3452.77\nTransfer/sec:,1.13MB\n")
24.59ms,161.10ms,2.46s,4987.72\nTransfer/sec:,1.63MB\n")
2.04ms,564.64us,16.48ms,4987.81\nTransfer/sec:,1.63MB\n")
2.08ms,586.18us,23.30ms,4987.68\nTransfer/sec:,1.63MB\n")
2.01ms,593.07us,21.87ms,5197.62\nTransfer/sec:,1.69MB\n")
2.00ms,571.81us,16.56ms,5197.64\nTransfer/sec:,1.69MB\n")
1.98s,3.30s,16.96s,5197.60\nTransfer/sec:,1.69MB\n")
2.07ms,586.01us,20.03ms,5203.59\nTransfer/sec:,1.70MB\n")
2.06ms,534.67us,18.62ms,5203.61\nTransfer/sec:,1.70MB\n")
2.03ms,531.01us,12.90ms,5203.63\nTransfer/sec:,1.70MB\n")
2.00ms,589.54us,19.94ms,5503.43\nTransfer/sec:,1.79MB\n")
1.69ms,659.54us,11.85ms,5033.51\nTransfer/sec:,1.64MB\n")
2.00ms,722.21us,21.76ms,5503.43\nTransfer/sec:,1.79MB\n")
2.03ms,625.01us,18.14ms,6195.92\nTransfer/sec:,2.02MB\n")
2.02ms,587.12us,16.03ms,6195.93\nTransfer/sec:,2.02MB\n")
2.05ms,747.66us,31.82ms,6195.93\nTransfer/sec:,2.02MB\n")
2.02ms,575.04us,13.18ms,6184.85\nTransfer/sec:,2.02MB\n")
1.62s,2.36s,10.17s,6184.90\nTransfer/sec:,2.02MB\n")
2.04ms,604.54us,20.00ms,6184.96\nTransfer/sec:,2.02MB\n")
2.02ms,609.61us,24.30ms,5635.30\nTransfer/sec:,1.84MB\n")
1.99ms,535.40us,13.54ms,5635.41\nTransfer/sec:,1.84MB\n")
2.00ms,540.06us,17.15ms,5635.29\nTransfer/sec:,1.84MB\n")
2.02ms,529.80us,10.34ms,5409.49\nTransfer/sec:,1.76MB\n")
2.24s,3.18s,15.02s,5409.49\nTransfer/sec:,1.76MB\n")
2.03ms,693.78us,38.91ms,5409.48\nTransfer/sec:,1.76MB\n")
2.03ms,531.08us,11.46ms,5245.51\nTransfer/sec:,1.71MB\n")
2.04ms,633.50us,23.52ms,5245.57\nTransfer/sec:,1.71MB\n")
2.03ms,591.46us,19.79ms,5245.58\nTransfer/sec:,1.71MB\n")
2.05ms,604.27us,20.70ms,5089.75\nTransfer/sec:,1.66MB\n")
1.37s,2.43s,13.33s,5089.72\nTransfer/sec:,1.66MB\n")
2.08ms,635.02us,28.19ms,5089.67\nTransfer/sec:,1.66MB\n")
2.04ms,713.89us,31.52ms,5663.35\nTransfer/sec:,1.85MB\n")
2.04ms,651.13us,26.82ms,5663.33\nTransfer/sec:,1.85MB\n")
2.02ms,540.20us,17.52ms,5663.33\nTransfer/sec:,1.85MB\n")
2.01ms,613.60us,24.00ms,5614.36\nTransfer/sec:,1.83MB\n")
910.63ms,1.61s,7.01s,5614.32\nTransfer/sec:,1.83MB\n")
1.99ms,522.08us,9.34ms,5614.35\nTransfer/sec:,1.83MB\n")
2.01ms,597.98us,27.14ms,4903.86\nTransfer/sec:,1.60MB\n")
2.03ms,521.77us,15.30ms,4903.81\nTransfer/sec:,1.60MB\n")
2.04ms,525.22us,13.63ms,4903.85\nTransfer/sec:,1.60MB\n")
2.18ms,537.86us,16.23ms,3504.82\nTransfer/sec:,1.14MB\n")
547.07ms,1.53s,7.79s,3504.95\nTransfer/sec:,1.14MB\n")
180.74ms,944.46ms,7.87s,3504.77\nTransfer/sec:,1.14MB\n")
2.18ms,584.32us,24.88ms,2317.61\nTransfer/sec:,773.93KB\n")
2.18ms,547.51us,20.00ms,2317.62\nTransfer/sec:,773.94KB\n")
2.19ms,510.19us,15.60ms,2317.69\nTransfer/sec:,773.96KB\n")
2.23ms,549.68us,20.51ms,1537.20\nTransfer/sec:,513.33KB\n")
2.21ms,562.46us,19.28ms,1537.20\nTransfer/sec:,513.32KB\n")
620.00ms,1.36s,6.99s,1537.18\nTransfer/sec:,513.32KB\n")
2.27ms,483.94us,15.37ms,1156.47\nTransfer/sec:,386.19KB\n")
2.31ms,649.35us,37.15ms,1156.45\nTransfer/sec:,386.18KB\n")
2.31ms,742.16us,42.05ms,1156.48\nTransfer/sec:,386.19KB\n")
2.36ms,679.65us,27.04ms,973.59\nTransfer/sec:,325.12KB\n")
2.34ms,624.37us,33.54ms,973.59\nTransfer/sec:,325.12KB\n")
142.18ms,464.33ms,3.72s,898.93\nTransfer/sec:,300.19KB\n")
2.61ms,526.37us,16.42ms,849.73\nTransfer/sec:,283.76KB\n")
2.43ms,545.29us,16.23ms,849.69\nTransfer/sec:,283.74KB\n")
52.18ms,239.30ms,2.39s,849.73\nTransfer/sec:,283.76KB\n")
2.41ms,540.03us,17.62ms,840.70\nTransfer/sec:,280.74KB\n")
2.22ms,484.60us,7.36ms,840.70\nTransfer/sec:,280.74KB\n")
48.90ms,208.86ms,1.66s,840.70\nTransfer/sec:,280.74KB\n")
2.23ms,514.47us,13.37ms,1057.50\nTransfer/sec:,353.14KB\n")
77.07ms,304.64ms,2.18s,1057.54\nTransfer/sec:,353.15KB\n")
2.30ms,506.33us,13.07ms,1057.50\nTransfer/sec:,353.14KB\n")
2.20ms,492.17us,11.05ms,1761.05\nTransfer/sec:,588.08KB\n")
1.94s,3.49s,14.11s,1761.09\nTransfer/sec:,588.09KB\n")
2.21ms,610.46us,18.91ms,1761.08\nTransfer/sec:,588.09KB\n")
2.09ms,500.95us,11.06ms,3131.09\nTransfer/sec:,1.02MB\n")
2.10ms,747.29us,33.95ms,3131.08\nTransfer/sec:,1.02MB\n")
2.11ms,726.36us,27.58ms,3131.07\nTransfer/sec:,1.02MB\n")
180.82ms,593.30ms,3.40s,3978.45\nTransfer/sec:,1.30MB\n")
2.10ms,804.36us,24.90ms,3978.47\nTransfer/sec:,1.30MB\n")
2.04ms,509.90us,11.23ms,3978.50\nTransfer/sec:,1.30MB\n")
2.02ms,535.02us,13.84ms,4761.92\nTransfer/sec:,1.55MB\n")
6.33ms,45.03ms,837.12ms,4762.01\nTransfer/sec:,1.55MB\n")
1.99ms,526.23us,11.85ms,4761.97\nTransfer/sec:,1.55MB\n")
2.04ms,554.14us,12.30ms,4974.76\nTransfer/sec:,1.62MB\n")
2.02ms,570.21us,14.02ms,4974.77\nTransfer/sec:,1.62MB\n")
2.03ms,0.87ms,31.36ms,4974.78\nTransfer/sec:,1.62MB\n")
129.71ms,397.40ms,2.68s,4857.88\nTransfer/sec:,1.58MB\n")
2.03ms,653.22us,23.66ms,4857.90\nTransfer/sec:,1.58MB\n")
2.03ms,0.88ms,38.82ms,4857.78\nTransfer/sec:,1.58MB\n")
2.01ms,539.65us,11.18ms,4927.80\nTransfer/sec:,1.61MB\n")
2.45ms,767.65us,15.47ms,4888.09\nTransfer/sec:,1.59MB\n")
559.23ms,1.26s,6.55s,4927.89\nTransfer/sec:,1.61MB\n")
1.99ms,559.56us,11.16ms,5303.58\nTransfer/sec:,1.73MB\n")
2.01ms,569.22us,10.91ms,5303.52\nTransfer/sec:,1.73MB\n")
2.00ms,565.57us,10.09ms,5303.39\nTransfer/sec:,1.73MB\n")
1.96ms,563.62us,15.81ms,5198.57\nTransfer/sec:,1.70MB\n")
328.01ms,950.87ms,5.62s,5198.58\nTransfer/sec:,1.70MB\n")
2.06ms,581.56us,16.03ms,5198.64\nTransfer/sec:,1.70MB\n")
2.06ms,538.28us,9.94ms,4974.83\nTransfer/sec:,1.62MB\n")
2.04ms,551.17us,9.44ms,4974.71\nTransfer/sec:,1.62MB\n")
2.01ms,528.90us,8.63ms,4974.72\nTransfer/sec:,1.62MB\n")
647.23ms,1.39s,7.00s,4750.91\nTransfer/sec:,1.55MB\n")
2.06ms,700.14us,23.50ms,4750.89\nTransfer/sec:,1.55MB\n")
2.03ms,559.49us,19.63ms,4750.87\nTransfer/sec:,1.55MB\n")
