1.72ms,633.52us,19.57ms,1532.69\nTransfer/sec:,511.84KB\n")
3.51ms,7.98ms,231.42ms,1527.19\nTransfer/sec:,510.01KB\n")
1.74ms,658.22us,21.39ms,1532.70\nTransfer/sec:,511.85KB\n")
3.68ms,7.36ms,228.86ms,1527.58\nTransfer/sec:,510.14KB\n")
1.73ms,632.70us,21.31ms,1532.71\nTransfer/sec:,511.85KB\n")
17.54ms,81.94ms,1.16s,1527.91\nTransfer/sec:,510.25KB\n")
1.77ms,1.06ms,36.93ms,1532.68\nTransfer/sec:,511.84KB\n")
4.28ms,8.91ms,234.75ms,1527.56\nTransfer/sec:,510.13KB\n")
1.74ms,626.03us,16.42ms,1532.71\nTransfer/sec:,511.85KB\n")
1.75ms,778.75us,26.16ms,1532.73\nTransfer/sec:,511.86KB\n")
3.27ms,7.53ms,224.38ms,1527.34\nTransfer/sec:,510.06KB\n")
1.76ms,740.74us,22.34ms,1533.68\nTransfer/sec:,512.17KB\n")
6.45ms,10.13ms,237.57ms,1531.27\nTransfer/sec:,511.37KB\n")
1.77ms,772.04us,21.95ms,1538.43\nTransfer/sec:,513.76KB\n")
1.84ms,782.46us,25.50ms,1542.48\nTransfer/sec:,515.12KB\n")
3.93ms,8.57ms,229.76ms,1540.96\nTransfer/sec:,514.61KB\n")
2.00ms,4.88ms,163.97ms,1549.33\nTransfer/sec:,517.40KB\n")
1.77ms,842.35us,28.08ms,1552.39\nTransfer/sec:,518.42KB\n")
1.77ms,690.59us,20.42ms,1555.24\nTransfer/sec:,519.38KB\n")
6.76ms,9.93ms,208.64ms,1552.61\nTransfer/sec:,518.50KB\n")
1.84ms,684.91us,21.28ms,1561.27\nTransfer/sec:,521.39KB\n")
1.80ms,754.09us,23.95ms,1567.13\nTransfer/sec:,523.35KB\n")
1.86ms,848.29us,32.80ms,1575.04\nTransfer/sec:,525.99KB\n")
1.76ms,790.14us,25.73ms,1580.95\nTransfer/sec:,527.96KB\n")
7.68ms,11.06ms,223.23ms,1583.01\nTransfer/sec:,528.65KB\n")
1.74ms,729.09us,22.46ms,1590.87\nTransfer/sec:,531.28KB\n")
1.78ms,0.95ms,39.07ms,1594.80\nTransfer/sec:,532.59KB\n")
5.43ms,8.62ms,193.54ms,1590.19\nTransfer/sec:,531.05KB\n")
1.75ms,704.49us,27.54ms,1598.80\nTransfer/sec:,533.93KB\n")
1.78ms,659.86us,22.43ms,1596.80\nTransfer/sec:,533.26KB\n")
1.72ms,701.33us,26.88ms,1598.75\nTransfer/sec:,533.91KB\n")
1.77ms,730.62us,22.21ms,1602.68\nTransfer/sec:,535.22KB\n")
1.82ms,770.81us,21.28ms,1604.64\nTransfer/sec:,535.88KB\n")
1.89ms,798.95us,26.88ms,1606.67\nTransfer/sec:,536.55KB\n")
1.78ms,733.13us,21.70ms,1608.66\nTransfer/sec:,537.22KB\n")
1.80ms,787.44us,21.46ms,1614.45\nTransfer/sec:,539.15KB\n")
10.64ms,14.09ms,211.97ms,1612.72\nTransfer/sec:,538.57KB\n")
1.76ms,1.04ms,38.72ms,1618.54\nTransfer/sec:,540.52KB\n")
1.74ms,770.06us,23.25ms,1619.53\nTransfer/sec:,540.85KB\n")
1.75ms,726.73us,24.59ms,1621.47\nTransfer/sec:,541.50KB\n")
1.76ms,673.62us,21.62ms,1621.44\nTransfer/sec:,541.49KB\n")
1.81ms,803.21us,25.17ms,1624.33\nTransfer/sec:,542.45KB\n")
1.77ms,834.07us,29.46ms,1623.37\nTransfer/sec:,542.13KB\n")
1.76ms,702.51us,23.66ms,1621.39\nTransfer/sec:,541.47KB\n")
1.76ms,779.61us,30.38ms,1618.51\nTransfer/sec:,540.51KB\n")
1.77ms,807.45us,26.03ms,1618.49\nTransfer/sec:,540.50KB\n")
5.75ms,8.43ms,211.33ms,1612.15\nTransfer/sec:,538.38KB\n")
1.92ms,2.50ms,101.31ms,1617.54\nTransfer/sec:,540.18KB\n")
1.72ms,633.48us,14.30ms,1615.64\nTransfer/sec:,539.55KB\n")
1.77ms,618.93us,12.01ms,1616.62\nTransfer/sec:,539.88KB\n")
1.74ms,609.32us,14.28ms,1616.55\nTransfer/sec:,539.85KB\n")
1.73ms,690.27us,21.84ms,1614.48\nTransfer/sec:,539.16KB\n")
1.75ms,719.08us,21.49ms,1610.55\nTransfer/sec:,537.85KB\n")
2.02ms,0.89ms,32.45ms,1605.73\nTransfer/sec:,536.24KB\n")
1.78ms,757.72us,22.77ms,1600.73\nTransfer/sec:,534.57KB\n")
1.77ms,820.97us,28.37ms,1598.80\nTransfer/sec:,533.93KB\n")
1.78ms,645.31us,17.92ms,1595.84\nTransfer/sec:,532.94KB\n")
1.76ms,0.97ms,40.54ms,1592.80\nTransfer/sec:,531.92KB\n")
6.70ms,11.01ms,219.39ms,1584.84\nTransfer/sec:,529.26KB\n")
1.77ms,762.87us,25.97ms,1593.80\nTransfer/sec:,532.25KB\n")
1.80ms,1.23ms,53.15ms,1592.83\nTransfer/sec:,531.93KB\n")
1.75ms,622.81us,13.77ms,1591.87\nTransfer/sec:,531.61KB\n")
1.76ms,726.95us,19.10ms,1591.80\nTransfer/sec:,531.59KB\n")
1.75ms,682.96us,23.09ms,1591.84\nTransfer/sec:,531.60KB\n")
1.75ms,743.19us,23.07ms,1588.86\nTransfer/sec:,530.61KB\n")
5.55ms,8.44ms,202.24ms,1580.98\nTransfer/sec:,527.97KB\n")
1.88ms,744.37us,20.67ms,1583.97\nTransfer/sec:,528.97KB\n")
4.89ms,8.82ms,239.49ms,1577.87\nTransfer/sec:,526.94KB\n")
1.83ms,1.03ms,35.42ms,1583.92\nTransfer/sec:,528.96KB\n")
1.73ms,634.28us,18.78ms,1581.94\nTransfer/sec:,528.30KB\n")
1.74ms,645.46us,16.50ms,1581.99\nTransfer/sec:,528.31KB\n")
1.74ms,667.94us,19.28ms,1581.93\nTransfer/sec:,528.29KB\n")
1.79ms,739.17us,20.16ms,1582.95\nTransfer/sec:,528.63KB\n")
1.82ms,779.29us,24.75ms,1585.88\nTransfer/sec:,529.61KB\n")
1.86ms,718.61us,22.13ms,1585.92\nTransfer/sec:,529.62KB\n")
1.97ms,723.66us,20.19ms,1584.91\nTransfer/sec:,529.29KB\n")
1.83ms,671.75us,19.34ms,1583.90\nTransfer/sec:,528.95KB\n")
1.73ms,698.01us,20.34ms,1580.97\nTransfer/sec:,527.97KB\n")
3.59ms,13.33ms,229.38ms,1578.98\nTransfer/sec:,527.31KB\n")
1.73ms,674.61us,22.24ms,1579.01\nTransfer/sec:,527.32KB\n")
8.09ms,12.35ms,266.75ms,1572.46\nTransfer/sec:,525.13KB\n")
1.75ms,646.04us,17.47ms,1576.00\nTransfer/sec:,526.31KB\n")
1.76ms,622.69us,15.92ms,1574.99\nTransfer/sec:,525.97KB\n")
1.80ms,757.07us,28.21ms,1575.03\nTransfer/sec:,525.99KB\n")
1.75ms,639.20us,22.54ms,1574.09\nTransfer/sec:,525.67KB\n")
1.76ms,779.68us,23.58ms,1574.09\nTransfer/sec:,525.67KB\n")
1.75ms,784.30us,23.65ms,1572.12\nTransfer/sec:,525.01KB\n")
1.75ms,753.32us,25.84ms,1570.11\nTransfer/sec:,524.34KB\n")
1.74ms,0.95ms,39.23ms,1570.14\nTransfer/sec:,524.35KB\n")
