latecny Avg(),Latency SD (),latency max (),\nTransfer/sec:,,If SLA Violation,,,
29.66,9.6,65.44,1527.92\nTransfer/sec:,"510.25KB\n"")",0,average latency,98.70909823,ms
29.52,9.5,64.61,1531.66\nTransfer/sec:,"511.50KB\n"")",0,counif SLA violation,645,
63.61,158.52,1.80s,1531.92\nTransfer/sec:,"511.59KB\n"")",1,SLA violation %,10.37811746,%
45.9,93.99,976.9,1531.88\nTransfer/sec:,"511.58KB\n"")",0,,,
71.63,198.22,1.97s,1531.84\nTransfer/sec:,"511.56KB\n"")",1,,,
69.78,201.07,1.84s,1531.71\nTransfer/sec:,"511.52KB\n"")",1,,,
52.08,134.81,1.76s,1531.90\nTransfer/sec:,"511.58KB\n"")",0,,,
48.49,73.95,971.26,1525.89\nTransfer/sec:,"509.57KB\n"")",0,,,
31.71,28.38,490.24,1501.60\nTransfer/sec:,"501.46KB\n"")",0,,,
32.97,10.13,70.02,1531.74\nTransfer/sec:,"511.53KB\n"")",0,,,
32.76,10.15,65.15,1531.96\nTransfer/sec:,"511.60KB\n"")",0,,,
79.08,226.53,1.88s,1528.13\nTransfer/sec:,"510.32KB\n"")",1,,,
40.62,79.1,951.3,1534.83\nTransfer/sec:,"512.56KB\n"")",0,,,
86.06,245.71,1.84s,1537.64\nTransfer/sec:,"513.50KB\n"")",1,,,
81.54,217.49,2.04s,1535.90\nTransfer/sec:,"512.92KB\n"")",1,,,
86.14,242.35,2.05s,1544.59\nTransfer/sec:,"515.82KB\n"")",1,,,
45.64,108.59,1.79s,1548.54\nTransfer/sec:,"517.14KB\n"")",0,,,
65.31,130.35,1.25s,1545.40\nTransfer/sec:,"516.09KB\n"")",1,,,
32.98,10.16,65.38,1554.54\nTransfer/sec:,"519.14KB\n"")",0,,,
32.79,10.12,63.87,1556.41\nTransfer/sec:,"519.77KB\n"")",0,,,
43.97,88.96,975.36,1560.42\nTransfer/sec:,"521.11KB\n"")",0,,,
96.24,253.54,2.02s,1561.20\nTransfer/sec:,"521.37KB\n"")",1,,,
51.55,86.94,964.1,1570.36\nTransfer/sec:,"524.43KB\n"")",0,,,
48.56,104.82,1.68s,1580.13\nTransfer/sec:,"527.69KB\n"")",0,,,
46.52,96.52,988.16,1587.15\nTransfer/sec:,"530.03KB\n"")",0,,,
50.46,113.5,1.69s,1589.98\nTransfer/sec:,"530.98KB\n"")",0,,,
84.97,241.08,1.83s,1593.95\nTransfer/sec:,"532.31KB\n"")",1,,,
33.07,10.26,265.47,1590.39\nTransfer/sec:,"531.12KB\n"")",0,,,
33.16,10.13,67.58,1597.87\nTransfer/sec:,"533.61KB\n"")",0,,,
33.07,11.23,369.15,1595.96\nTransfer/sec:,"532.98KB\n"")",0,,,
53.99,122.86,1.69s,1597.97\nTransfer/sec:,"533.65KB\n"")",0,,,
50.66,110.77,980.99,1601.79\nTransfer/sec:,"534.92KB\n"")",0,,,
100.04,276.76,1.85s,1603.78\nTransfer/sec:,"535.59KB\n"")",1,,,
64.07,195.93,1.77s,1605.82\nTransfer/sec:,"536.27KB\n"")",1,,,
42.51,82.02,950.78,1607.72\nTransfer/sec:,"536.90KB\n"")",0,,,
87.79,247.73,1.84s,1613.62\nTransfer/sec:,"538.87KB\n"")",1,,,
42.34,82.17,986.11,1609.73\nTransfer/sec:,"537.58KB\n"")",0,,,
32.63,10.15,83.58,1617.61\nTransfer/sec:,"540.21KB\n"")",0,,,
41.04,17.63,256.13,1613.39\nTransfer/sec:,"538.80KB\n"")",0,,,
52.79,117.48,1.00s,1620.29\nTransfer/sec:,"541.10KB\n"")",0,,,
45.47,101.68,1.74s,1620.54\nTransfer/sec:,"541.19KB\n"")",0,,,
49.27,106.1,981.5,1623.51\nTransfer/sec:,"542.18KB\n"")",0,,,
114.47,304.7,1.96s,1622.46\nTransfer/sec:,"541.83KB\n"")",1,,,
79.09,240.47,1.84s,1620.64\nTransfer/sec:,"541.22KB\n"")",1,,,
79.83,226.66,1.96s,1617.69\nTransfer/sec:,"540.24KB\n"")",1,,,
47.75,80.19,1.82s,1588.19\nTransfer/sec:,"530.38KB\n"")",0,,,
33.11,10.45,101.44,1615.76\nTransfer/sec:,"539.59KB\n"")",0,,,
