2.24ms,486.93us,10.13ms,1287.35\nTransfer/sec:,429.89KB\n")
2.25ms,501.88us,10.50ms,1287.37\nTransfer/sec:,429.90KB\n")
49.31ms,205.52ms,1.67s,1287.35\nTransfer/sec:,429.89KB\n")
2.46ms,493.10us,10.80ms,1716.06\nTransfer/sec:,573.06KB\n")
2.53ms,618.62us,22.58ms,1716.08\nTransfer/sec:,573.06KB\n")
91.05ms,337.33ms,2.21s,1716.04\nTransfer/sec:,573.05KB\n")
2.23ms,557.26us,20.91ms,2144.75\nTransfer/sec:,716.21KB\n")
2.21ms,500.80us,16.51ms,2069.08\nTransfer/sec:,690.94KB\n")
2.23ms,491.37us,6.89ms,2144.73\nTransfer/sec:,716.20KB\n")
2.26ms,555.87us,20.03ms,2573.47\nTransfer/sec:,859.37KB\n")
1.89s,3.80s,19.73s,2406.57\nTransfer/sec:,803.64KB\n")
2.16ms,492.45us,11.35ms,2573.51\nTransfer/sec:,859.39KB\n")
2.12ms,500.18us,15.78ms,3002.19\nTransfer/sec:,0.98MB\n")
1.71s,3.27s,16.94s,2783.02\nTransfer/sec:,0.91MB\n")
105.42ms,601.45ms,5.96s,3002.18\nTransfer/sec:,0.98MB\n")
2.35ms,527.08us,11.54ms,3430.77\nTransfer/sec:,1.12MB\n")
40.08ms,233.24ms,3.28s,3147.47\nTransfer/sec:,1.03MB\n")
2.23ms,623.65us,31.17ms,3430.80\nTransfer/sec:,1.12MB\n")
2.13ms,525.42us,16.26ms,3859.56\nTransfer/sec:,1.26MB\n")
1.23s,2.70s,15.02s,3641.49\nTransfer/sec:,1.19MB\n")
2.17ms,569.17us,20.69ms,3859.56\nTransfer/sec:,1.26MB\n")
2.17ms,574.34us,23.44ms,4288.30\nTransfer/sec:,1.40MB\n")
890.50ms,1.68s,8.95s,4220.94\nTransfer/sec:,1.38MB\n")
2.15ms,612.80us,22.45ms,4288.27\nTransfer/sec:,1.40MB\n")
2.09ms,602.16us,18.85ms,4716.94\nTransfer/sec:,1.54MB\n")
1.02s,1.90s,9.26s,4716.91\nTransfer/sec:,1.54MB\n")
2.07ms,608.92us,28.37ms,4716.92\nTransfer/sec:,1.54MB\n")
2.07ms,567.86us,19.31ms,5145.68\nTransfer/sec:,1.68MB\n")
1.92s,4.53s,24.84s,3386.98\nTransfer/sec:,1.10MB\n")
4.64s,5.99s,21.97s,5145.57\nTransfer/sec:,1.68MB\n")
2.21ms,730.56us,34.05ms,5574.34\nTransfer/sec:,1.82MB\n")
2.21ms,566.97us,16.82ms,5574.34\nTransfer/sec:,1.82MB\n")
276.94ms,986.71ms,7.00s,4899.79\nTransfer/sec:,1.60MB\n")
20.28ms,216.94ms,3.93s,6003.01\nTransfer/sec:,1.96MB\n")
2.19ms,566.26us,21.02ms,6003.08\nTransfer/sec:,1.96MB\n")
1.10s,3.27s,17.04s,4663.05\nTransfer/sec:,1.52MB\n")
4.74s,4.83s,14.74s,6430.75\nTransfer/sec:,2.10MB\n")
2.18ms,595.84us,20.64ms,6430.67\nTransfer/sec:,2.10MB\n")
2.22ms,567.95us,8.16ms,6430.74\nTransfer/sec:,2.10MB\n")
4.80s,4.48s,21.63s,6171.83\nTransfer/sec:,2.01MB\n")
3.16ms,0.86ms,32.86ms,6860.19\nTransfer/sec:,2.24MB\n")
3.11ms,783.78us,29.18ms,6860.16\nTransfer/sec:,2.24MB\n")
492.11ms,1.40s,7.01s,7289.23\nTransfer/sec:,2.38MB\n")
5.60s,5.38s,22.13s,7288.95\nTransfer/sec:,2.38MB\n")
2.23ms,660.98us,23.74ms,7289.10\nTransfer/sec:,2.38MB\n")
2.26ms,816.40us,42.94ms,7369.80\nTransfer/sec:,2.40MB\n")
8.51s,5.53s,21.95s,7126.53\nTransfer/sec:,2.32MB\n")
2.29ms,695.65us,21.04ms,7717.75\nTransfer/sec:,2.52MB\n")
2.27ms,0.94ms,35.94ms,8146.54\nTransfer/sec:,2.66MB\n")
1.06s,3.01s,14.61s,6384.59\nTransfer/sec:,2.08MB\n")
2.22ms,662.93us,20.83ms,8146.47\nTransfer/sec:,2.66MB\n")
2.33ms,791.89us,23.74ms,8575.20\nTransfer/sec:,2.80MB\n")
657.91ms,1.84s,15.02s,8575.36\nTransfer/sec:,2.80MB\n")
10.06s,4.42s,19.48s,7950.26\nTransfer/sec:,2.59MB\n")
2.39ms,1.09ms,42.62ms,9003.79\nTransfer/sec:,2.94MB\n")
2.55ms,2.18ms,88.26ms,9003.87\nTransfer/sec:,2.94MB\n")
8.20s,6.80s,26.18s,7009.64\nTransfer/sec:,2.29MB\n")
2.62ms,2.06ms,63.97ms,9432.52\nTransfer/sec:,3.08MB\n")
2.61ms,1.67ms,45.76ms,9432.66\nTransfer/sec:,3.08MB\n")
5.13s,7.17s,26.17s,9137.49\nTransfer/sec:,2.98MB\n")
190.04ms,579.17ms,4.69s,9861.26\nTransfer/sec:,3.22MB\n")
3.06ms,2.92ms,66.05ms,9861.00\nTransfer/sec:,3.22MB\n")
46.77ms,765.55ms,15.02s,7054.75\nTransfer/sec:,2.30MB\n")
12.26s,6.64s,23.33s,7977.20\nTransfer/sec:,2.60MB\n")
5.98ms,13.04ms,208.00ms,10288.00\nTransfer/sec:,3.36MB\n")
6.23ms,14.99ms,274.18ms,10283.64\nTransfer/sec:,3.35MB\n")
