2.20ms,511.72us,21.01ms,1287.37\nTransfer/sec:,429.90KB\n")
2.22ms,522.48us,19.10ms,1287.35\nTransfer/sec:,429.90KB\n")
122.19ms,472.78ms,3.28s,1287.37\nTransfer/sec:,429.90KB\n")
2.28ms,563.13us,19.95ms,1716.04\nTransfer/sec:,573.05KB\n")
2.54ms,617.65us,17.58ms,1716.03\nTransfer/sec:,573.05KB\n")
68.23ms,280.85ms,2.15s,1716.06\nTransfer/sec:,573.05KB\n")
2.23ms,491.49us,8.46ms,2144.73\nTransfer/sec:,716.20KB\n")
2.25ms,494.95us,10.88ms,2081.97\nTransfer/sec:,695.25KB\n")
2.27ms,517.95us,15.78ms,2144.78\nTransfer/sec:,716.22KB\n")
2.13ms,493.56us,8.78ms,2573.46\nTransfer/sec:,859.37KB\n")
1.54s,3.01s,16.73s,2548.02\nTransfer/sec:,850.87KB\n")
2.14ms,594.03us,25.87ms,2573.47\nTransfer/sec:,859.37KB\n")
2.14ms,488.79us,10.14ms,3002.16\nTransfer/sec:,0.98MB\n")
585.14ms,1.35s,6.68s,3002.10\nTransfer/sec:,0.98MB\n")
2.12ms,494.41us,11.40ms,3002.19\nTransfer/sec:,0.98MB\n")
2.30ms,549.64us,16.24ms,3430.73\nTransfer/sec:,1.12MB\n")
311.40ms,905.70ms,5.88s,3430.85\nTransfer/sec:,1.12MB\n")
2.33ms,683.88us,30.29ms,3430.76\nTransfer/sec:,1.12MB\n")
2.09ms,516.51us,14.38ms,3859.53\nTransfer/sec:,1.26MB\n")
2.79s,4.51s,26.18s,3859.55\nTransfer/sec:,1.26MB\n")
2.15ms,626.78us,30.56ms,3859.50\nTransfer/sec:,1.26MB\n")
2.09ms,539.30us,18.69ms,4288.25\nTransfer/sec:,1.40MB\n")
959.82ms,1.73s,9.54s,4288.33\nTransfer/sec:,1.40MB\n")
2.09ms,500.01us,7.62ms,4288.26\nTransfer/sec:,1.40MB\n")
2.13ms,848.53us,33.95ms,4716.94\nTransfer/sec:,1.54MB\n")
810.67ms,1.76s,9.01s,4378.92\nTransfer/sec:,1.43MB\n")
2.07ms,517.69us,13.28ms,4716.90\nTransfer/sec:,1.54MB\n")
2.08ms,634.92us,28.00ms,5145.65\nTransfer/sec:,1.68MB\n")
2.11ms,665.17us,23.49ms,5145.66\nTransfer/sec:,1.68MB\n")
8.60s,7.86s,32.46s,4250.25\nTransfer/sec:,1.39MB\n")
2.13ms,530.50us,13.72ms,5574.33\nTransfer/sec:,1.82MB\n")
2.14ms,549.72us,14.06ms,5574.24\nTransfer/sec:,1.82MB\n")
2.15ms,753.02us,31.12ms,5574.29\nTransfer/sec:,1.82MB\n")
2.07ms,524.39us,8.44ms,6003.06\nTransfer/sec:,1.96MB\n")
2.95s,5.36s,29.02s,3793.14\nTransfer/sec:,1.24MB\n")
5.34s,6.06s,21.94s,6002.79\nTransfer/sec:,1.96MB\n")
2.23ms,605.84us,17.20ms,6430.67\nTransfer/sec:,2.10MB\n")
2.25ms,631.45us,24.50ms,6430.78\nTransfer/sec:,2.10MB\n")
2.21ms,0.89ms,33.82ms,6430.74\nTransfer/sec:,2.10MB\n")
3.13ms,0.95ms,27.54ms,6860.33\nTransfer/sec:,2.24MB\n")
3.17ms,814.03us,19.78ms,6860.18\nTransfer/sec:,2.24MB\n")
1.53s,3.39s,15.02s,6192.60\nTransfer/sec:,2.02MB\n")
9.16s,5.32s,19.86s,6821.07\nTransfer/sec:,2.22MB\n")
2.22ms,755.97us,34.98ms,7289.04\nTransfer/sec:,2.38MB\n")
2.22ms,659.72us,20.96ms,7289.13\nTransfer/sec:,2.38MB\n")
2.22ms,669.41us,20.86ms,7717.79\nTransfer/sec:,2.52MB\n")
2.23ms,622.45us,15.54ms,7717.83\nTransfer/sec:,2.52MB\n")
2.23ms,679.14us,22.70ms,7717.73\nTransfer/sec:,2.52MB\n")
2.26ms,690.31us,21.30ms,8146.61\nTransfer/sec:,2.66MB\n")
6.57s,5.87s,22.12s,6505.82\nTransfer/sec:,2.12MB\n")
2.27ms,661.37us,17.54ms,8146.59\nTransfer/sec:,2.66MB\n")
2.31ms,0.89ms,36.03ms,8575.30\nTransfer/sec:,2.80MB\n")
2.33ms,0.93ms,34.24ms,8575.14\nTransfer/sec:,2.80MB\n")
2.31ms,1.07ms,44.48ms,8575.18\nTransfer/sec:,2.80MB\n")
2.50ms,1.70ms,77.95ms,9003.92\nTransfer/sec:,2.94MB\n")
2.52ms,1.61ms,71.42ms,9003.90\nTransfer/sec:,2.94MB\n")
2.55ms,1.64ms,58.08ms,8126.87\nTransfer/sec:,2.65MB\n")
8.22s,3.20s,19.66s,8585.44\nTransfer/sec:,2.80MB\n")
2.73ms,2.06ms,64.22ms,9432.58\nTransfer/sec:,3.08MB\n")
2.91ms,3.82ms,152.06ms,9432.67\nTransfer/sec:,3.08MB\n")
3.86ms,6.44ms,148.35ms,9860.40\nTransfer/sec:,3.22MB\n")
4.49ms,9.81ms,245.12ms,9861.39\nTransfer/sec:,3.22MB\n")
3.66ms,5.69ms,159.74ms,9861.02\nTransfer/sec:,3.22MB\n")
8.33ms,17.87ms,331.01ms,10288.98\nTransfer/sec:,3.36MB\n")
10.34ms,23.64ms,375.04ms,9539.50\nTransfer/sec:,3.11MB\n")
12.00s,3.94s,16.65s,8267.16\nTransfer/sec:,2.70MB\n")
