1.73ms,654.79us,18.21ms,1532.68\nTransfer/sec:,511.84KB\n")
290.99ms,861.00ms,13.08s,1532.67\nTransfer/sec:,511.84KB\n")
32.27ms,155.55ms,1.67s,1532.67\nTransfer/sec:,511.84KB\n")
22.02ms,118.46ms,1.64s,1532.70\nTransfer/sec:,511.85KB\n")
18.10ms,114.25ms,1.65s,1532.66\nTransfer/sec:,511.84KB\n")
30.26ms,175.31ms,1.66s,1532.68\nTransfer/sec:,511.84KB\n")
35.89ms,197.45ms,1.66s,1527.61\nTransfer/sec:,510.15KB\n")
1.78ms,0.93ms,40.86ms,1532.66\nTransfer/sec:,511.84KB\n")
1.75ms,768.92us,29.15ms,1532.66\nTransfer/sec:,511.84KB\n")
45.54ms,219.00ms,1.66s,1532.69\nTransfer/sec:,511.84KB\n")
26.92ms,165.02ms,1.67s,1532.67\nTransfer/sec:,511.84KB\n")
145.69ms,465.58ms,6.54s,1533.69\nTransfer/sec:,512.18KB\n")
63.67ms,242.88ms,1.67s,1535.43\nTransfer/sec:,512.76KB\n")
10.70ms,76.15ms,1.64s,1538.49\nTransfer/sec:,513.78KB\n")
1.88ms,725.29us,19.90ms,1542.51\nTransfer/sec:,515.13KB\n")
1.91ms,751.43us,21.25ms,1545.20\nTransfer/sec:,516.02KB\n")
25.14ms,153.73ms,1.67s,1549.34\nTransfer/sec:,517.41KB\n")
138.70ms,447.78ms,3.29s,1552.37\nTransfer/sec:,518.42KB\n")
26.57ms,123.83ms,1.63s,1555.21\nTransfer/sec:,519.37KB\n")
46.29ms,252.34ms,6.34s,1557.22\nTransfer/sec:,520.04KB\n")
2.52ms,4.25ms,140.80ms,1555.07\nTransfer/sec:,519.32KB\n")
140.21ms,547.57ms,3.35s,1567.12\nTransfer/sec:,523.34KB\n")
39.16ms,182.30ms,1.69s,1575.03\nTransfer/sec:,525.99KB\n")
20.14ms,107.35ms,1.63s,1580.95\nTransfer/sec:,527.97KB\n")
46.05ms,218.48ms,1.75s,1587.91\nTransfer/sec:,530.29KB\n")
48.76ms,221.22ms,1.68s,1590.82\nTransfer/sec:,531.26KB\n")
13.41ms,83.18ms,820.74ms,1594.72\nTransfer/sec:,532.56KB\n")
1.96ms,5.98ms,206.98ms,1597.45\nTransfer/sec:,533.47KB\n")
1.87ms,0.89ms,30.77ms,1598.68\nTransfer/sec:,533.89KB\n")
40.11ms,183.98ms,1.70s,1596.84\nTransfer/sec:,533.27KB\n")
88.77ms,359.72ms,6.35s,1598.73\nTransfer/sec:,533.90KB\n")
77.22ms,277.55ms,1.71s,1602.64\nTransfer/sec:,535.21KB\n")
38.93ms,208.17ms,1.69s,1604.61\nTransfer/sec:,535.87KB\n")
3.49ms,21.83ms,414.21ms,1606.71\nTransfer/sec:,536.57KB\n")
1.82ms,781.14us,25.87ms,1608.59\nTransfer/sec:,537.19KB\n")
36.88ms,202.35ms,1.69s,1614.46\nTransfer/sec:,539.15KB\n")
23.06ms,121.72ms,1.64s,1617.59\nTransfer/sec:,540.20KB\n")
130.45ms,433.35ms,3.28s,1618.57\nTransfer/sec:,540.53KB\n")
38.87ms,207.92ms,1.68s,1619.49\nTransfer/sec:,540.83KB\n")
22.31ms,111.88ms,1.63s,1609.59\nTransfer/sec:,537.53KB\n")
1.79ms,744.40us,23.41ms,1621.42\nTransfer/sec:,541.48KB\n")
2.13ms,19.09ms,1.64s,1624.28\nTransfer/sec:,542.43KB\n")
46.94ms,210.44ms,1.67s,1618.86\nTransfer/sec:,540.62KB\n")
13.30ms,86.70ms,1.64s,1614.86\nTransfer/sec:,539.29KB\n")
578.26ms,1.71s,26.15s,1613.41\nTransfer/sec:,538.80KB\n")
34.78ms,181.47ms,1.68s,1596.23\nTransfer/sec:,533.07KB\n")
1.80ms,826.54us,23.97ms,1616.56\nTransfer/sec:,539.86KB\n")
149.02ms,562.52ms,3.36s,1617.57\nTransfer/sec:,540.19KB\n")
31.14ms,145.51ms,1.64s,1615.58\nTransfer/sec:,539.53KB\n")
531.53ms,1.30s,14.78s,1599.56\nTransfer/sec:,534.18KB\n")
11.98ms,72.46ms,830.98ms,1616.56\nTransfer/sec:,539.86KB\n")
1.74ms,684.42us,23.39ms,1614.45\nTransfer/sec:,539.15KB\n")
2.44ms,4.47ms,126.40ms,1604.62\nTransfer/sec:,535.87KB\n")
25.24ms,150.23ms,1.68s,1605.71\nTransfer/sec:,536.23KB\n")
39.47ms,210.26ms,1.74s,1600.68\nTransfer/sec:,534.55KB\n")
19.68ms,130.96ms,1.67s,1598.79\nTransfer/sec:,533.92KB\n")
36.97ms,178.96ms,1.70s,1595.80\nTransfer/sec:,532.92KB\n")
56.41ms,243.34ms,1.68s,1592.79\nTransfer/sec:,531.92KB\n")
42.54ms,217.27ms,1.77s,1585.55\nTransfer/sec:,529.50KB\n")
1.76ms,1.07ms,42.56ms,1593.82\nTransfer/sec:,532.26KB\n")
46.28ms,266.37ms,5.86s,1592.81\nTransfer/sec:,531.92KB\n")
49.72ms,209.93ms,1.73s,1591.79\nTransfer/sec:,531.58KB\n")
270.03ms,811.22ms,6.55s,1585.58\nTransfer/sec:,529.51KB\n")
54.96ms,219.06ms,1.66s,1584.25\nTransfer/sec:,529.07KB\n")
1.75ms,786.34us,32.38ms,1588.86\nTransfer/sec:,530.61KB\n")
197.69ms,729.47ms,6.55s,1584.87\nTransfer/sec:,529.27KB\n")
45.16ms,181.62ms,1.67s,1580.36\nTransfer/sec:,527.77KB\n")
55.13ms,237.23ms,1.70s,1582.91\nTransfer/sec:,528.62KB\n")
50.93ms,226.95ms,1.72s,1583.95\nTransfer/sec:,528.97KB\n")
63.98ms,323.73ms,3.29s,1581.94\nTransfer/sec:,528.29KB\n")
2.45ms,4.11ms,129.73ms,1576.01\nTransfer/sec:,526.31KB\n")
875.71ms,3.58s,31.03s,1581.87\nTransfer/sec:,528.27KB\n")
61.08ms,233.31ms,1.70s,1582.97\nTransfer/sec:,528.64KB\n")
330.13ms,879.40ms,7.52s,1585.87\nTransfer/sec:,529.61KB\n")
72.18ms,362.21ms,3.28s,1581.71\nTransfer/sec:,528.22KB\n")
2.06ms,803.23us,32.90ms,1584.93\nTransfer/sec:,529.29KB\n")
148.90ms,563.01ms,3.34s,1583.89\nTransfer/sec:,528.95KB\n")
46.32ms,189.69ms,1.64s,1580.98\nTransfer/sec:,527.97KB\n")
34.52ms,191.00ms,1.69s,1579.02\nTransfer/sec:,527.32KB\n")
209.87ms,607.07ms,6.54s,1578.96\nTransfer/sec:,527.30KB\n")
32.89ms,189.85ms,1.64s,1573.39\nTransfer/sec:,525.44KB\n")
1.85ms,699.18us,24.37ms,1575.97\nTransfer/sec:,526.30KB\n")
32.90ms,160.95ms,1.67s,1575.03\nTransfer/sec:,525.99KB\n")
296.19ms,830.61ms,6.55s,1570.83\nTransfer/sec:,524.58KB\n")
82.55ms,284.26ms,1.67s,1574.09\nTransfer/sec:,525.67KB\n")
29.86ms,177.29ms,1.64s,1574.13\nTransfer/sec:,525.69KB\n")
1.77ms,703.94us,22.90ms,1572.01\nTransfer/sec:,524.98KB\n")
1.78ms,669.87us,19.22ms,1570.09\nTransfer/sec:,524.34KB\n")
20.15ms,133.31ms,1.66s,1570.12\nTransfer/sec:,524.35KB\n")
58.45ms,248.42ms,1.69s,1568.16\nTransfer/sec:,523.69KB\n")
19.56ms,118.29ms,1.66s,1567.08\nTransfer/sec:,523.33KB\n")
22.74ms,145.44ms,1.66s,1565.11\nTransfer/sec:,522.67KB\n")
29.56ms,154.55ms,1.67s,1561.02\nTransfer/sec:,521.31KB\n")
62.87ms,348.34ms,6.55s,1520.37\nTransfer/sec:,507.73KB\n")
1.87ms,0.86ms,37.02ms,1560.22\nTransfer/sec:,521.04KB\n")
15.52ms,107.49ms,1.64s,1561.26\nTransfer/sec:,521.39KB\n")
40.90ms,197.17ms,1.66s,1562.24\nTransfer/sec:,521.71KB\n")
54.52ms,228.81ms,1.68s,1561.26\nTransfer/sec:,521.39KB\n")
313.26ms,856.14ms,6.55s,1559.28\nTransfer/sec:,520.73KB\n")
31.07ms,163.22ms,1.64s,1529.62\nTransfer/sec:,510.82KB\n")
13.72ms,78.30ms,1.08s,1552.03\nTransfer/sec:,518.30KB\n")
83.66ms,379.96ms,3.28s,1551.33\nTransfer/sec:,518.07KB\n")
58.99ms,231.90ms,1.69s,1548.34\nTransfer/sec:,517.07KB\n")
23.77ms,144.59ms,1.70s,1542.51\nTransfer/sec:,515.13KB\n")
32.88ms,166.68ms,1.65s,1540.48\nTransfer/sec:,514.45KB\n")
29.58ms,171.37ms,1.67s,1537.44\nTransfer/sec:,513.43KB\n")
7.78ms,59.64ms,822.78ms,1525.84\nTransfer/sec:,509.56KB\n")
1.85ms,0.86ms,38.59ms,1541.51\nTransfer/sec:,514.79KB\n")
226.03ms,811.01ms,6.55s,1542.46\nTransfer/sec:,515.11KB\n")
57.23ms,228.83ms,1.69s,1541.52\nTransfer/sec:,514.79KB\n")
86.80ms,382.13ms,3.31s,1541.49\nTransfer/sec:,514.78KB\n")
33.72ms,165.69ms,1.65s,1537.16\nTransfer/sec:,513.34KB\n")
68.09ms,315.07ms,2.73s,1540.50\nTransfer/sec:,514.45KB\n")
4.11ms,30.10ms,818.18ms,1539.49\nTransfer/sec:,514.12KB\n")
12.39ms,78.31ms,1.07s,1533.43\nTransfer/sec:,512.09KB\n")
2.25ms,21.95ms,1.63s,1534.65\nTransfer/sec:,512.50KB\n")
41.49ms,200.46ms,1.66s,1533.65\nTransfer/sec:,512.17KB\n")
52.64ms,225.98ms,1.68s,1530.66\nTransfer/sec:,511.17KB\n")
46.29ms,195.88ms,1.65s,1522.91\nTransfer/sec:,508.58KB\n")
56.40ms,257.54ms,3.28s,1525.45\nTransfer/sec:,509.43KB\n")
62.87ms,256.36ms,1.71s,1521.09\nTransfer/sec:,507.97KB\n")
14.51ms,87.59ms,1.65s,1520.94\nTransfer/sec:,507.92KB\n")
2.49ms,3.84ms,126.21ms,1517.97\nTransfer/sec:,506.93KB\n")
1.83ms,692.23us,20.67ms,1521.78\nTransfer/sec:,508.20KB\n")
38.35ms,206.85ms,1.67s,1519.70\nTransfer/sec:,507.51KB\n")
68.98ms,275.33ms,1.67s,1513.97\nTransfer/sec:,505.59KB\n")
72.03ms,282.05ms,1.69s,1513.99\nTransfer/sec:,505.60KB\n")
59.62ms,251.90ms,1.69s,1509.88\nTransfer/sec:,504.23KB\n")
68.76ms,274.51ms,1.67s,1506.75\nTransfer/sec:,503.18KB\n")
38.39ms,206.64ms,1.66s,1504.92\nTransfer/sec:,502.57KB\n")
1.79ms,696.69us,29.89ms,1501.06\nTransfer/sec:,501.28KB\n")
148.74ms,575.67ms,7.74s,1504.93\nTransfer/sec:,502.58KB\n")
68.88ms,251.62ms,1.67s,1507.82\nTransfer/sec:,503.54KB\n")
33.67ms,191.34ms,1.66s,1507.81\nTransfer/sec:,503.54KB\n")
217.42ms,638.41ms,6.54s,1505.71\nTransfer/sec:,502.84KB\n")
6.73ms,47.98ms,822.27ms,1494.59\nTransfer/sec:,499.12KB\n")
10.82ms,78.28ms,1.08s,1497.84\nTransfer/sec:,500.21KB\n")
152.81ms,597.04ms,6.55s,1489.07\nTransfer/sec:,497.28KB\n")
41.21ms,185.81ms,1.66s,1484.33\nTransfer/sec:,495.69KB\n")
151.06ms,548.66ms,6.55s,1477.52\nTransfer/sec:,493.42KB\n")
14.46ms,82.94ms,1.63s,1470.07\nTransfer/sec:,490.93KB\n")
1.83ms,0.99ms,36.86ms,1478.14\nTransfer/sec:,493.63KB\n")
278.41ms,837.27ms,6.55s,1477.05\nTransfer/sec:,493.26KB\n")
123.14ms,492.94ms,3.33s,1480.27\nTransfer/sec:,494.34KB\n")
180.42ms,1.09s,15.05s,1481.34\nTransfer/sec:,494.69KB\n")
37.57ms,181.06ms,1.66s,1485.10\nTransfer/sec:,495.95KB\n")
1.87ms,676.58us,21.86ms,1480.23\nTransfer/sec:,494.32KB\n")
2.15ms,1.83ms,52.70ms,1491.74\nTransfer/sec:,498.17KB\n")
1.76ms,687.73us,21.55ms,1500.00\nTransfer/sec:,500.93KB\n")
40.25ms,209.44ms,1.67s,1504.16\nTransfer/sec:,502.32KB\n")
26.21ms,139.72ms,1.64s,1507.73\nTransfer/sec:,503.51KB\n")
37.66ms,186.71ms,1.66s,1510.94\nTransfer/sec:,504.58KB\n")
704.36ms,1.91s,14.77s,1511.64\nTransfer/sec:,504.81KB\n")
17.57ms,103.82ms,1.65s,1516.78\nTransfer/sec:,506.53KB\n")
1.76ms,670.58us,20.59ms,1536.46\nTransfer/sec:,513.10KB\n")
90.33ms,363.58ms,6.54s,1549.38\nTransfer/sec:,517.42KB\n")
29.51ms,143.37ms,1.66s,1557.24\nTransfer/sec:,520.04KB\n")
330.47ms,859.51ms,6.55s,1565.07\nTransfer/sec:,522.66KB\n")
1.94ms,744.88us,39.58ms,1582.91\nTransfer/sec:,528.62KB\n")
89.54ms,926.98ms,15.03s,1590.25\nTransfer/sec:,531.07KB\n")
99.06ms,357.89ms,3.28s,1604.61\nTransfer/sec:,535.87KB\n")
92.54ms,299.49ms,1.73s,1608.65\nTransfer/sec:,537.21KB\n")
48.41ms,221.75ms,1.73s,1613.48\nTransfer/sec:,538.83KB\n")
53.67ms,262.81ms,3.27s,1623.48\nTransfer/sec:,542.17KB\n")
1.95ms,708.34us,27.49ms,1640.21\nTransfer/sec:,547.76KB\n")
97.36ms,394.55ms,3.31s,1649.26\nTransfer/sec:,550.78KB\n")
56.18ms,228.05ms,1.72s,1669.85\nTransfer/sec:,557.65KB\n")
247.09ms,768.18ms,6.55s,1683.42\nTransfer/sec:,562.19KB\n")
35.46ms,197.38ms,1.64s,1657.09\nTransfer/sec:,553.39KB\n")
13.51ms,81.97ms,1.07s,1715.46\nTransfer/sec:,572.89KB\n")
1.82ms,641.32us,19.28ms,1736.17\nTransfer/sec:,579.80KB\n")
117.41ms,449.00ms,6.34s,1750.71\nTransfer/sec:,584.66KB\n")
38.44ms,151.39ms,1.63s,1763.46\nTransfer/sec:,588.92KB\n")
180.02ms,739.94ms,6.55s,1740.88\nTransfer/sec:,581.38KB\n")
1.88ms,631.78us,15.50ms,1788.53\nTransfer/sec:,597.29KB\n")
92.03ms,420.15ms,3.34s,1800.16\nTransfer/sec:,601.18KB\n")
122.77ms,503.91ms,3.34s,1812.90\nTransfer/sec:,605.43KB\n")
31.63ms,144.13ms,1.66s,1824.86\nTransfer/sec:,609.43KB\n")
214.15ms,621.39ms,3.35s,1836.82\nTransfer/sec:,613.42KB\n")
7.08ms,54.40ms,820.22ms,1850.44\nTransfer/sec:,617.97KB\n")
1.84ms,676.55us,22.19ms,1864.36\nTransfer/sec:,622.62KB\n")
42.21ms,216.21ms,1.72s,1878.30\nTransfer/sec:,627.27KB\n")
47.66ms,197.46ms,1.66s,1885.13\nTransfer/sec:,629.56KB\n")
359.76ms,861.76ms,6.55s,1799.95\nTransfer/sec:,601.11KB\n")
23.49ms,156.36ms,1.67s,1879.66\nTransfer/sec:,627.73KB\n")
1.86ms,765.13us,25.68ms,1930.36\nTransfer/sec:,644.66KB\n")
50.15ms,224.30ms,1.71s,1944.35\nTransfer/sec:,649.33KB\n")
224.61ms,760.70ms,6.55s,1958.26\nTransfer/sec:,653.98KB\n")
68.43ms,270.27ms,1.72s,1974.91\nTransfer/sec:,659.53KB\n")
195.67ms,604.67ms,3.35s,1985.62\nTransfer/sec:,663.11KB\n")
2.14ms,835.23us,29.15ms,2015.37\nTransfer/sec:,673.01KB\n")
1.82ms,776.87us,26.96ms,2038.99\nTransfer/sec:,680.89KB\n")
161.48ms,581.51ms,3.35s,2058.70\nTransfer/sec:,687.48KB\n")
73.66ms,342.46ms,3.37s,2076.65\nTransfer/sec:,693.47KB\n")
156.13ms,562.08ms,3.35s,2093.49\nTransfer/sec:,699.10KB\n")
163.70ms,582.53ms,3.35s,2112.38\nTransfer/sec:,705.41KB\n")
2.87ms,16.48ms,411.39ms,2127.85\nTransfer/sec:,710.57KB\n")
1.93ms,692.91us,18.40ms,2139.86\nTransfer/sec:,714.58KB\n")
109.84ms,469.08ms,3.32s,2151.85\nTransfer/sec:,718.59KB\n")
173.92ms,591.34ms,3.36s,2165.48\nTransfer/sec:,723.14KB\n")
64.24ms,327.75ms,3.29s,2178.19\nTransfer/sec:,727.38KB\n")
191.21ms,605.88ms,3.37s,2193.38\nTransfer/sec:,732.46KB\n")
115.36ms,433.14ms,3.32s,2207.86\nTransfer/sec:,737.29KB\n")
3.37ms,14.00ms,350.72ms,2223.92\nTransfer/sec:,742.66KB\n")
1.81ms,669.73us,17.76ms,2237.47\nTransfer/sec:,747.18KB\n")
122.90ms,447.14ms,3.32s,2255.28\nTransfer/sec:,753.13KB\n")
79.49ms,353.50ms,3.31s,2271.20\nTransfer/sec:,758.45KB\n")
276.88ms,720.89ms,3.37s,2275.49\nTransfer/sec:,759.88KB\n")
147.59ms,549.25ms,7.36s,2159.18\nTransfer/sec:,721.04KB\n")
1.89ms,751.89us,32.53ms,2304.76\nTransfer/sec:,769.66KB\n")
154.67ms,400.60ms,3.28s,2313.71\nTransfer/sec:,772.64KB\n")
233.53ms,670.18ms,3.35s,2321.50\nTransfer/sec:,775.25KB\n")
75.70ms,362.52ms,3.30s,2328.37\nTransfer/sec:,777.54KB\n")
74.69ms,287.02ms,2.75s,2331.16\nTransfer/sec:,778.48KB\n")
1.80ms,0.91ms,40.86ms,2340.32\nTransfer/sec:,781.53KB\n")
9.63ms,84.80ms,1.88s,2347.19\nTransfer/sec:,783.83KB\n")
181.17ms,597.49ms,3.35s,2353.14\nTransfer/sec:,785.81KB\n")
126.98ms,462.39ms,3.32s,2360.06\nTransfer/sec:,788.13KB\n")
172.63ms,595.97ms,3.35s,2364.05\nTransfer/sec:,789.46KB\n")
54.56ms,283.46ms,3.28s,2368.02\nTransfer/sec:,790.78KB\n")
1.84ms,764.08us,20.83ms,2371.93\nTransfer/sec:,792.09KB\n")
248.04ms,802.80ms,6.55s,2375.85\nTransfer/sec:,793.40KB\n")
133.98ms,432.03ms,3.31s,2388.72\nTransfer/sec:,797.70KB\n")
219.89ms,772.04ms,9.08s,2392.50\nTransfer/sec:,798.96KB\n")
1.81ms,817.82us,35.84ms,2417.34\nTransfer/sec:,807.26KB\n")
387.29ms,806.23ms,3.36s,2423.13\nTransfer/sec:,809.19KB\n")
290.07ms,746.98ms,3.37s,2417.95\nTransfer/sec:,807.46KB\n")
205.54ms,665.72ms,3.40s,2431.15\nTransfer/sec:,811.87KB\n")
2.91ms,16.81ms,415.23ms,2360.45\nTransfer/sec:,788.26KB\n")
1.80ms,825.90us,22.37ms,2434.03\nTransfer/sec:,812.83KB\n")
534.90ms,1.59s,13.09s,2436.18\nTransfer/sec:,813.55KB\n")
103.75ms,363.89ms,3.30s,2429.89\nTransfer/sec:,811.45KB\n")
240.04ms,673.06ms,3.35s,2438.96\nTransfer/sec:,814.48KB\n")
64.63ms,335.39ms,3.29s,2361.44\nTransfer/sec:,788.59KB\n")
1.82ms,1.07ms,43.94ms,2434.06\nTransfer/sec:,812.84KB\n")
133.55ms,510.05ms,3.36s,2427.29\nTransfer/sec:,810.58KB\n")
818.99ms,2.09s,13.09s,2423.15\nTransfer/sec:,809.20KB\n")
135.72ms,419.98ms,3.32s,2415.96\nTransfer/sec:,806.80KB\n")
41.17ms,208.41ms,1.69s,2317.81\nTransfer/sec:,774.02KB\n")
2.09ms,820.68us,24.16ms,2425.23\nTransfer/sec:,809.89KB\n")
4.99ms,9.11ms,174.46ms,2424.67\nTransfer/sec:,809.70KB\n")
138.34ms,521.46ms,3.35s,2436.20\nTransfer/sec:,813.56KB\n")
54.65ms,241.17ms,3.27s,2440.04\nTransfer/sec:,814.84KB\n")
82.62ms,391.73ms,3.32s,2440.95\nTransfer/sec:,815.14KB\n")
129.40ms,483.08ms,3.44s,2435.87\nTransfer/sec:,813.45KB\n")
2.58ms,22.52ms,1.63s,2393.67\nTransfer/sec:,799.35KB\n")
271.85ms,887.79ms,6.61s,2450.82\nTransfer/sec:,818.44KB\n")
174.54ms,601.15ms,3.36s,2455.87\nTransfer/sec:,820.12KB\n")
256.64ms,680.75ms,3.41s,2453.68\nTransfer/sec:,819.39KB\n")
13.93ms,115.96ms,1.64s,2407.14\nTransfer/sec:,803.85KB\n")
174.92ms,593.42ms,3.39s,2434.61\nTransfer/sec:,813.02KB\n")
160.62ms,516.31ms,3.34s,2436.16\nTransfer/sec:,813.54KB\n")
212.48ms,626.85ms,3.36s,2425.22\nTransfer/sec:,809.89KB\n")
75.39ms,338.92ms,6.55s,2301.00\nTransfer/sec:,768.40KB\n")
35.66ms,190.83ms,2.33s,2396.69\nTransfer/sec:,800.36KB\n")
328.48ms,747.19ms,3.40s,2391.68\nTransfer/sec:,798.69KB\n")
316.64ms,852.51ms,6.55s,2387.68\nTransfer/sec:,797.35KB\n")
5.02ms,47.92ms,1.64s,2334.85\nTransfer/sec:,779.71KB\n")
178.10ms,634.44ms,7.50s,2382.78\nTransfer/sec:,795.71KB\n")
148.30ms,509.88ms,3.31s,2376.83\nTransfer/sec:,793.73KB\n")
174.55ms,601.36ms,3.36s,2384.79\nTransfer/sec:,796.39KB\n")
610.59ms,1.96s,13.10s,2254.97\nTransfer/sec:,753.03KB\n")
1.89ms,0.85ms,23.34ms,2386.77\nTransfer/sec:,797.05KB\n")
59.85ms,305.66ms,3.29s,2384.78\nTransfer/sec:,796.38KB\n")
71.16ms,307.75ms,3.29s,2385.71\nTransfer/sec:,796.69KB\n")
212.27ms,717.34ms,6.56s,2212.87\nTransfer/sec:,738.97KB\n")
1.83ms,1.03ms,50.59ms,2432.15\nTransfer/sec:,812.20KB\n")
120.83ms,490.42ms,3.35s,2443.94\nTransfer/sec:,816.14KB\n")
258.35ms,704.76ms,3.36s,2440.00\nTransfer/sec:,814.82KB\n")
325.15ms,790.01ms,3.35s,2432.06\nTransfer/sec:,812.17KB\n")
91.54ms,414.74ms,3.34s,2416.37\nTransfer/sec:,806.93KB\n")
2.92ms,6.74ms,174.72ms,2402.26\nTransfer/sec:,802.22KB\n")
2.22ms,2.94ms,86.27ms,2395.45\nTransfer/sec:,799.94KB\n")
60.14ms,284.16ms,3.28s,2410.46\nTransfer/sec:,804.96KB\n")
344.51ms,916.39ms,6.55s,2400.61\nTransfer/sec:,801.67KB\n")
80.89ms,280.01ms,1.72s,2389.76\nTransfer/sec:,798.05KB\n")
2.02ms,802.02us,28.32ms,2374.94\nTransfer/sec:,793.10KB\n")
3.83ms,39.19ms,1.48s,2358.03\nTransfer/sec:,787.45KB\n")
87.88ms,370.65ms,3.31s,2342.72\nTransfer/sec:,782.33KB\n")
224.60ms,653.11ms,3.36s,2343.33\nTransfer/sec:,782.54KB\n")
171.11ms,595.72ms,3.36s,2334.48\nTransfer/sec:,779.58KB\n")
223.71ms,842.85ms,6.56s,2195.26\nTransfer/sec:,733.08KB\n")
1.83ms,813.28us,25.98ms,2309.68\nTransfer/sec:,771.30KB\n")
163.51ms,583.61ms,3.35s,2299.72\nTransfer/sec:,767.97KB\n")
80.70ms,386.25ms,3.32s,2291.96\nTransfer/sec:,765.38KB\n")
55.14ms,239.10ms,3.27s,2297.77\nTransfer/sec:,767.32KB\n")
99.81ms,343.51ms,3.28s,2290.01\nTransfer/sec:,764.73KB\n")
111.39ms,414.03ms,3.32s,2284.80\nTransfer/sec:,762.99KB\n")
7.14ms,41.23ms,818.18ms,2296.60\nTransfer/sec:,766.93KB\n")
2.50ms,5.67ms,155.90ms,2337.15\nTransfer/sec:,780.47KB\n")
192.93ms,601.63ms,3.34s,2344.05\nTransfer/sec:,782.78KB\n")
128.39ms,500.84ms,3.34s,2339.39\nTransfer/sec:,781.22KB\n")
44.40ms,219.42ms,1.72s,2339.24\nTransfer/sec:,781.17KB\n")
192.07ms,603.81ms,3.35s,2333.39\nTransfer/sec:,779.22KB\n")
2.16ms,695.50us,18.45ms,2328.36\nTransfer/sec:,777.54KB\n")
1.78ms,646.44us,15.53ms,2301.86\nTransfer/sec:,768.69KB\n")
207.86ms,644.42ms,3.36s,2266.21\nTransfer/sec:,756.78KB\n")
264.05ms,717.17ms,3.37s,2253.58\nTransfer/sec:,752.56KB\n")
132.82ms,497.89ms,3.34s,2251.59\nTransfer/sec:,751.90KB\n")
158.71ms,573.89ms,3.36s,2252.62\nTransfer/sec:,752.24KB\n")
34.32ms,190.85ms,1.65s,2133.39\nTransfer/sec:,712.42KB\n")
1.79ms,661.01us,19.76ms,2258.33\nTransfer/sec:,754.15KB\n")
86.44ms,370.39ms,3.05s,2257.17\nTransfer/sec:,753.76KB\n")
307.58ms,771.55ms,3.35s,2240.67\nTransfer/sec:,748.25KB\n")
187.36ms,591.77ms,3.35s,2241.62\nTransfer/sec:,748.57KB\n")
75.95ms,281.47ms,1.73s,2233.95\nTransfer/sec:,746.01KB\n")
63.50ms,311.01ms,3.31s,2239.58\nTransfer/sec:,747.89KB\n")
