1.72ms,674.20us,18.70ms,1461.22\nTransfer/sec:,488.02KB\n")
1.72ms,572.25us,7.80ms,1461.07\nTransfer/sec:,487.97KB\n")
2.91ms,8.49ms,100.80ms,1441.31\nTransfer/sec:,481.37KB\n")
1.71ms,694.80us,18.14ms,1461.27\nTransfer/sec:,488.04KB\n")
1.70ms,560.84us,5.83ms,1460.96\nTransfer/sec:,487.94KB\n")
1.72ms,693.67us,18.50ms,1461.12\nTransfer/sec:,487.99KB\n")
1.71ms,563.28us,6.66ms,1461.18\nTransfer/sec:,488.01KB\n")
1.71ms,704.84us,18.53ms,1461.29\nTransfer/sec:,488.05KB\n")
1.72ms,703.04us,16.50ms,1461.41\nTransfer/sec:,488.09KB\n")
1.73ms,830.68us,20.61ms,1461.20\nTransfer/sec:,488.02KB\n")
1.72ms,667.08us,21.49ms,1461.10\nTransfer/sec:,487.98KB\n")
1.78ms,729.56us,23.30ms,1462.21\nTransfer/sec:,488.36KB\n")
2.96ms,7.42ms,87.36ms,1443.30\nTransfer/sec:,482.04KB\n")
2.86ms,8.72ms,104.90ms,1445.36\nTransfer/sec:,482.73KB\n")
1.76ms,694.53us,17.23ms,1469.78\nTransfer/sec:,490.88KB\n")
1.77ms,791.20us,17.76ms,1471.81\nTransfer/sec:,491.56KB\n")
3.24ms,7.10ms,81.47ms,1451.19\nTransfer/sec:,484.68KB\n")
1.71ms,575.62us,6.27ms,1478.61\nTransfer/sec:,493.83KB\n")
1.72ms,707.24us,19.47ms,1481.22\nTransfer/sec:,494.70KB\n")
47.59ms,169.08ms,1.05s,1483.36\nTransfer/sec:,495.42KB\n")
2.90ms,7.92ms,96.13ms,1458.14\nTransfer/sec:,487.00KB\n")
1.75ms,759.92us,17.26ms,1493.05\nTransfer/sec:,498.66KB\n")
1.75ms,537.59us,6.58ms,1500.24\nTransfer/sec:,501.06KB\n")
1.71ms,623.16us,13.59ms,1506.01\nTransfer/sec:,502.98KB\n")
1.72ms,576.14us,5.86ms,1512.18\nTransfer/sec:,505.04KB\n")
1.70ms,565.48us,6.78ms,1515.12\nTransfer/sec:,506.03KB\n")
1.75ms,742.53us,19.97ms,1518.47\nTransfer/sec:,507.14KB\n")
1.68ms,576.65us,13.82ms,1522.04\nTransfer/sec:,508.34KB\n")
1.70ms,576.96us,5.75ms,1521.86\nTransfer/sec:,508.28KB\n")
1.76ms,740.72us,19.76ms,1520.18\nTransfer/sec:,507.71KB\n")
