2.50ms,668.10us,23.65ms,3091.11\nTransfer/sec:,1.01MB\n")
2.52ms,638.99us,22.32ms,3091.10\nTransfer/sec:,1.01MB\n")
739.40ms,1.53s,6.75s,3091.09\nTransfer/sec:,1.01MB\n")
2.46ms,700.08us,27.31ms,3977.45\nTransfer/sec:,1.30MB\n")
2.44ms,596.17us,22.85ms,3977.45\nTransfer/sec:,1.30MB\n")
134.03ms,451.08ms,3.34s,3977.50\nTransfer/sec:,1.30MB\n")
2.39ms,631.85us,20.18ms,4908.84\nTransfer/sec:,1.60MB\n")
2.33ms,593.72us,17.70ms,4908.73\nTransfer/sec:,1.60MB\n")
228.37ms,624.88ms,3.33s,4908.79\nTransfer/sec:,1.60MB\n")
2.31ms,556.71us,12.99ms,5177.63\nTransfer/sec:,1.69MB\n")
19.90ms,183.08ms,2.91s,4835.98\nTransfer/sec:,1.58MB\n")
2.34ms,786.18us,26.34ms,5177.60\nTransfer/sec:,1.69MB\n")
2.36ms,752.70us,23.58ms,5163.67\nTransfer/sec:,1.68MB\n")
171.91ms,561.05ms,3.28s,5163.62\nTransfer/sec:,1.68MB\n")
2.35ms,667.42us,24.70ms,5163.63\nTransfer/sec:,1.68MB\n")
2.32ms,553.78us,10.23ms,5435.44\nTransfer/sec:,1.77MB\n")
297.61ms,749.66ms,3.34s,5435.39\nTransfer/sec:,1.77MB\n")
2.33ms,670.26us,21.23ms,5435.31\nTransfer/sec:,1.77MB\n")
55.39ms,271.65ms,2.16s,6106.03\nTransfer/sec:,1.99MB\n")
17.93ms,184.93ms,3.34s,6105.90\nTransfer/sec:,1.99MB\n")
2.30ms,617.18us,17.26ms,6105.97\nTransfer/sec:,1.99MB\n")
319.05ms,768.11ms,3.33s,6370.79\nTransfer/sec:,2.08MB\n")
2.24ms,616.90us,15.67ms,6370.83\nTransfer/sec:,2.08MB\n")
2.28ms,696.07us,21.20ms,6370.77\nTransfer/sec:,2.08MB\n")
442.70ms,1.05s,4.73s,6351.77\nTransfer/sec:,2.07MB\n")
2.30ms,801.81us,22.40ms,6351.74\nTransfer/sec:,2.07MB\n")
2.31ms,788.19us,24.64ms,6351.65\nTransfer/sec:,2.07MB\n")
7.38s,6.13s,34.31s,5029.96\nTransfer/sec:,1.64MB\n")
1.73s,774.61ms,3.40s,5935.61\nTransfer/sec:,1.94MB\n")
1.25s,629.89ms,2.89s,5955.61\nTransfer/sec:,1.94MB\n")
3.59s,6.15s,24.17s,2750.51\nTransfer/sec:,0.90MB\n")
8.22s,3.42s,13.12s,5317.31\nTransfer/sec:,1.73MB\n")
3.05ms,1.91ms,37.12ms,5747.17\nTransfer/sec:,1.87MB\n")
3.14ms,2.13ms,37.09ms,5805.14\nTransfer/sec:,1.89MB\n")
13.90s,12.74s,40.96s,1691.36\nTransfer/sec:,564.81KB\n")
11.79s,11.74s,46.24s,4446.02\nTransfer/sec:,1.45MB\n")
1.14ms,473.14us,8.12ms,1931.41\nTransfer/sec:,644.97KB\n")
12.79ms,31.05ms,414.46ms,6043.89\nTransfer/sec:,1.97MB\n")
18.20ms,53.57ms,734.72ms,6043.93\nTransfer/sec:,1.97MB\n")
5.10s,7.94s,26.85s,4877.27\nTransfer/sec:,1.59MB\n")
394.52ms,3.18s,26.18s,3134.92\nTransfer/sec:,1.02MB\n")
14.18ms,36.91ms,502.53ms,6051.82\nTransfer/sec:,1.97MB\n")
4.53ms,6.17ms,132.10ms,5149.55\nTransfer/sec:,1.68MB\n")
5.49ms,10.06ms,193.66ms,3539.94\nTransfer/sec:,1.15MB\n")
1.22ms,485.02us,7.35ms,2881.78\nTransfer/sec:,0.94MB\n")
3.50ms,3.05ms,79.87ms,3640.68\nTransfer/sec:,1.19MB\n")
3.52ms,2.93ms,58.88ms,3640.63\nTransfer/sec:,1.19MB\n")
972.12ms,2.10s,15.51s,3090.58\nTransfer/sec:,1.01MB\n")
6.91s,7.68s,39.55s,1754.71\nTransfer/sec:,585.96KB\n")
12.00s,9.06s,26.18s,2031.35\nTransfer/sec:,678.34KB\n")
3.11ms,1.31ms,39.62ms,2372.56\nTransfer/sec:,792.28KB\n")
3.19ms,1.27ms,35.49ms,1465.21\nTransfer/sec:,489.29KB\n")
1.68s,3.08s,19.50s,1140.73\nTransfer/sec:,380.93KB\n")
7.98s,10.35s,0.96m,1301.21\nTransfer/sec:,434.52KB\n")
1.18ms,454.25us,7.70ms,621.97\nTransfer/sec:,207.70KB\n")
3.42ms,1.56ms,36.38ms,1118.48\nTransfer/sec:,373.50KB\n")
3.27ms,0.85ms,26.46ms,1118.50\nTransfer/sec:,373.51KB\n")
1.20s,2.29s,13.09s,972.91\nTransfer/sec:,324.89KB\n")
1.20s,4.20s,45.02s,792.22\nTransfer/sec:,264.55KB\n")
2.98ms,639.23us,25.26ms,990.60\nTransfer/sec:,330.80KB\n")
2.93ms,789.20us,28.00ms,884.65\nTransfer/sec:,295.42KB\n")
178.00ms,448.04ms,2.63s,555.78\nTransfer/sec:,185.60KB\n")
2.66ms,532.33us,14.00ms,884.64\nTransfer/sec:,295.41KB\n")
2.85ms,684.91us,24.70ms,885.67\nTransfer/sec:,295.76KB\n")
281.67ms,787.07ms,4.19s,885.65\nTransfer/sec:,295.75KB\n")
2.82ms,683.19us,22.74ms,885.65\nTransfer/sec:,295.75KB\n")
