2.83ms,0.94ms,26.58ms,3091.09\nTransfer/sec:,1.01MB\n")
2.79ms,760.93us,26.72ms,3091.12\nTransfer/sec:,1.01MB\n")
3.00ms,8.14ms,427.01ms,2771.90\nTransfer/sec:,0.90MB\n")
4.96s,4.27s,13.09s,3977.42\nTransfer/sec:,1.30MB\n")
2.90ms,1.07ms,29.60ms,3977.41\nTransfer/sec:,1.30MB\n")
2.82ms,784.31us,25.49ms,3977.38\nTransfer/sec:,1.30MB\n")
8.52s,3.60s,13.29s,4379.10\nTransfer/sec:,1.43MB\n")
3.49ms,2.60ms,31.84ms,4908.77\nTransfer/sec:,1.60MB\n")
3.49ms,2.24ms,29.98ms,4908.76\nTransfer/sec:,1.60MB\n")
6.08s,5.48s,13.09s,4263.18\nTransfer/sec:,1.39MB\n")
4.83ms,4.62ms,40.64ms,5177.61\nTransfer/sec:,1.69MB\n")
4.54ms,4.71ms,64.90ms,5177.53\nTransfer/sec:,1.69MB\n")
1.38s,3.02s,13.34s,4635.17\nTransfer/sec:,1.51MB\n")
5.15ms,5.96ms,58.88ms,5163.15\nTransfer/sec:,1.68MB\n")
5.58ms,7.37ms,61.50ms,5163.34\nTransfer/sec:,1.68MB\n")
9.75ms,12.64ms,78.91ms,5434.34\nTransfer/sec:,1.77MB\n")
4.34s,3.46s,10.11s,5044.98\nTransfer/sec:,1.65MB\n")
9.20ms,15.66ms,120.00ms,5435.39\nTransfer/sec:,1.77MB\n")
1.29s,513.97ms,2.43s,5895.99\nTransfer/sec:,1.92MB\n")
1.04s,415.17ms,1.96s,5896.92\nTransfer/sec:,1.92MB\n")
7.62s,3.64s,13.89s,5283.55\nTransfer/sec:,1.72MB\n")
2.02s,863.64ms,3.99s,5990.50\nTransfer/sec:,1.95MB\n")
2.41s,1.02s,4.47s,5928.77\nTransfer/sec:,1.93MB\n")
2.27s,900.07ms,4.13s,5403.27\nTransfer/sec:,1.76MB\n")
14.21s,748.16ms,15.84s,4701.65\nTransfer/sec:,1.53MB\n")
1.88s,823.38ms,3.62s,6002.00\nTransfer/sec:,1.96MB\n")
2.57s,1.06s,4.73s,5887.04\nTransfer/sec:,1.92MB\n")
1.46s,548.24ms,2.81s,5940.75\nTransfer/sec:,1.94MB\n")
7.40s,3.91s,45.74s,5166.57\nTransfer/sec:,1.68MB\n")
1.14s,488.93ms,2.32s,6005.43\nTransfer/sec:,1.96MB\n")
62.66ms,60.60ms,291.07ms,5744.08\nTransfer/sec:,1.87MB\n")
36.05ms,44.53ms,257.66ms,5745.36\nTransfer/sec:,1.87MB\n")
611.88ms,1.49s,7.02s,5266.16\nTransfer/sec:,1.72MB\n")
23.41ms,28.94ms,184.19ms,5805.11\nTransfer/sec:,1.89MB\n")
69.36ms,76.77ms,409.09ms,5805.05\nTransfer/sec:,1.89MB\n")
44.92ms,50.91ms,283.14ms,5801.91\nTransfer/sec:,1.89MB\n")
664.21ms,263.13ms,1.35s,5953.86\nTransfer/sec:,1.94MB\n")
6.36s,5.31s,14.18s,4938.39\nTransfer/sec:,1.61MB\n")
599.11ms,377.92ms,1.59s,5919.19\nTransfer/sec:,1.93MB\n")
1.03s,279.88ms,1.79s,5898.32\nTransfer/sec:,1.92MB\n")
708.50ms,265.63ms,1.51s,5940.72\nTransfer/sec:,1.94MB\n")
604.87ms,274.20ms,1.43s,5952.37\nTransfer/sec:,1.94MB\n")
7.22s,5.31s,13.09s,4250.25\nTransfer/sec:,1.39MB\n")
5.99ms,8.19ms,96.45ms,5149.61\nTransfer/sec:,1.68MB\n")
4.69ms,4.77ms,57.86ms,5149.58\nTransfer/sec:,1.68MB\n")
2.85ms,0.99ms,29.14ms,3640.69\nTransfer/sec:,1.19MB\n")
2.81ms,757.25us,22.26ms,3640.64\nTransfer/sec:,1.19MB\n")
1.14s,1.81s,6.55s,3640.65\nTransfer/sec:,1.19MB\n")
2.80ms,725.20us,27.86ms,2372.59\nTransfer/sec:,792.30KB\n")
2.74ms,806.52us,25.60ms,2372.57\nTransfer/sec:,792.29KB\n")
2.77ms,1.01ms,42.18ms,2372.61\nTransfer/sec:,792.30KB\n")
2.83ms,0.99ms,43.58ms,1465.21\nTransfer/sec:,489.29KB\n")
629.58ms,1.62s,7.20s,1274.98\nTransfer/sec:,425.76KB\n")
2.82ms,0.99ms,45.92ms,1465.23\nTransfer/sec:,489.29KB\n")
2.97ms,824.19us,31.26ms,1118.50\nTransfer/sec:,373.51KB\n")
2.97ms,1.14ms,38.62ms,1118.49\nTransfer/sec:,373.51KB\n")
2.89ms,0.89ms,35.94ms,1118.49\nTransfer/sec:,373.51KB\n")
2.89ms,0.86ms,36.06ms,990.58\nTransfer/sec:,330.79KB\n")
7.14s,9.37s,37.32s,758.32\nTransfer/sec:,253.23KB\n")
2.95ms,845.76us,33.34ms,990.57\nTransfer/sec:,330.79KB\n")
2.79ms,826.92us,25.17ms,884.67\nTransfer/sec:,295.42KB\n")
2.97s,4.97s,26.18s,884.66\nTransfer/sec:,295.42KB\n")
3.82s,6.16s,26.18s,884.65\nTransfer/sec:,295.42KB\n")
3.17ms,1.04ms,31.98ms,885.64\nTransfer/sec:,295.75KB\n")
3.13ms,1.16ms,33.60ms,885.66\nTransfer/sec:,295.75KB\n")
3.18ms,1.19ms,36.29ms,885.67\nTransfer/sec:,295.76KB\n")
